State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
OK,1991,62,7469,0.823263842783163,-0.6944488251730817
OK,1992,166,8739,1.8641212801796745,0.29744203943610104
OK,1993,308,14527,2.076171216717223,0.6302919912875304
OK,1994,49,18298,0.2670736360167875,-1.670117368802817
OK,1995,127,21482,0.5877180804294507,-0.9795477389349497
OK,1996,363,20522,1.738089537945894,-0.36763422272214497
OK,1997,1244,24270,4.875754487732226,1.5695870227291406
OK,1998,1136,39163,2.8189285093922924,-0.02455059532898174
OK,1999,1268,55039,2.251940256096045,-0.6955097518940301
OK,2000,1715,61586,2.7092778945040363,-0.9056346009922369
OK,2001,2194,77630,2.7485468029665263,-1.6564491524463518
OK,2002,6054,99645,5.727584934578378,-1.316931073706865
OK,2003,11178,116419,8.76039405315172,0.44128425321001963
OK,2004,21628,211837,9.263915362045703,0.24118075680139484
OK,2005,33860,240652,12.334615608789415,0.7612052404989242
OK,2006,21025,155466,11.912788754100776,-1.6816591462387276
OK,2007,26503,165524,13.801704968572128,-5.059993654688821
OK,2008,41585,185708,18.29576801749284,-0.9540155885283568
OK,2009,62070,268867,18.75583570286792,1.2709306793777664
OK,2010,98071,328228,23.005214649811517,4.346133529272908
OK,2011,138359,376256,26.885924428942026,6.419938869727396
OK,2012,150038,412416,26.675603693813184,5.720470328933313
OK,2013,157966,466543,25.29443130523339,5.130656908650764
OK,2014,170229,611022,21.789284109716338,3.842102000319045
OK,2015,158781,587823,21.26709741710465,4.333090105266045
OK,2016,159193,563094,22.04013086210883,5.989498247467019
OK,2017,35777,135167,20.929076188693372,6.028590665904813
