State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
IN,1991,483,66076,0.7256719602157484,-0.7920407077404963,1.5177126679562447
IN,1992,450,87641,0.5108353861347924,-1.055843854608781,1.5666792407435735
IN,1993,568,94158,0.5996241792116209,-0.8462550462180715,1.4458792254296924
IN,1994,1088,97774,1.1005239626954746,-0.83666704212413,1.9371910048196046
IN,1995,540,44433,1.2007204322593557,-0.3665453871050448,1.5672658193644005
IN,1996,401,28230,1.4005797911354825,-0.7051439695325565,2.105723760668039
IN,1997,1325,26259,4.8035092807424595,1.4973418157393743,3.3061674650030852
IN,1998,1411,34137,3.969280972206594,1.1258018674853196,2.843479104721274
IN,1999,8533,181405,4.492518611336331,1.5450686033462562,2.947450007990075
IN,2000,6924,147529,4.482917133367432,0.868004637871159,3.6149124954962732
IN,2001,17941,261084,6.4298897948212534,2.0248938394083753,4.404995955412878
IN,2002,29165,310630,8.58311629070469,1.5386002824194467,7.0445160082852425
IN,2003,45856,353132,11.493077486039681,3.1739676860979813,8.3191097999417
IN,2004,59905,370640,13.913760466385627,4.891025861141319,9.022734605244308
IN,2005,80239,315945,20.252963269591906,8.679552901301415,11.57341036829049
IN,2006,37639,160851,18.96266814449091,5.368220244151406,13.594447900339503
IN,2007,41500,159830,20.612924055034025,1.7512254317730758,18.86169862326095
IN,2008,60019,164406,26.7434554973822,7.493671891361004,19.249783606021197
IN,2009,74940,262043,22.23851054800984,4.753605524519688,17.484905023490153
IN,2010,195109,807071,19.46845875990341,0.8093776393648007,18.65908112053861
IN,2011,222339,854358,20.65009933156682,0.18411377235219106,20.46598555921463
IN,2012,295095,1005251,22.693575402239098,1.7384420373592278,20.95513336487987
IN,2013,281620,1096054,20.44170101199558,0.27792661541295516,20.163774396582625
IN,2014,287687,1317005,17.927864038706492,-0.019318070690800937,17.947182109397293
IN,2015,268658,1542271,14.835369028824433,-2.098638283014173,16.934007311838606
IN,2016,301350,1999651,13.096474099750498,-2.9541585148913114,16.05063261464181
IN,2017,30186,245080,10.966120043884823,-3.934365478903736,14.900485522788559
