State,Opiate,Number.of.Prescriptions
AK,,177643
AK,YES,6783
AL,,1442163
AL,YES,4525
AR,,749825
AR,YES,6134
CA,,6789729
CA,YES,37240
CO,,354126
CO,YES,1385
CT,,887307
CT,YES,19529
DC,,142649
DC,YES,6293
DE,,137990
DE,YES,1906
FL,,4059179
FL,YES,65801
GA,,2216573
GA,YES,18979
HI,,167521
HI,YES,523
IA,,631141
IA,YES,6841
ID,,258405
ID,YES,2679
IL,,2868339
IL,YES,3075
IN,,1571232
IN,YES,8183
KS,,516230
KS,YES,172
KY,,1751149
KY,YES,2507
LA,,1617047
LA,YES,5772
MA,,2652447
MA,YES,118736
MD,,665658
MD,YES,11453
ME,,692165
ME,YES,13531
MI,,1934979
MI,YES,2171
MN,,624449
MN,YES,952
MO,,1841783
MO,YES,3760
MS,,971432
MS,YES,3407
MT,,175470
MT,YES,764
NC,,2482337
NC,YES,3326
ND,,131611
ND,YES,1459
NE,,543706
NE,YES,8500
NH,,231786
NH,YES,308
NJ,,1486822
NJ,YES,29798
NM,,197886
NM,YES,7539
NV,,181918
NV,YES,4490
NY,,6731097
NY,YES,23745
OH,,3311458
OH,YES,2107
OK,,584467
OK,YES,1065
OR,,720186
OR,YES,9830
PA,,2063385
PA,YES,31235
RI,,284581
RI,YES,3545
SC,,1008443
SC,YES,1554
SD,,159982
SD,YES,1195
TN,,2778069
TN,YES,2488
TX,,3546478
TX,YES,8495
UT,,298965
UT,YES,142
VA,,1195192
VA,YES,7908
VT,,31560
VT,YES,3952
WA,,1446571
WA,YES,41354
WI,,1337022
WI,YES,27187
WV,,897340
WV,YES,6810
WY,,63717
XX,,61503351
XX,YES,100896
