Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
51672,1290,HYDROCORTISONE VALERATE,2,,,13864483.682,340023
00378,0442,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,2; 25,,,7627046.38,107272
00185,4350,ISONIAZID,300,,,2311122.48,65984
50111,0327,HYDRALAZINE HYDROCHLORIDE,25,,,18454009.098,200434
00555,0606,MEGESTROL ACETATE,20,,,1398632.06,26605
37205,0350,IBUPROFEN,200,,,133099,1916
00456,0462,"THYROID, PORCINE",180,,,511991,13401
00703,3155,BLEOMYCIN,30,,,183,75
49348,0460,PERMETHRIN,1,,,939910.054,11994
00603,0823,DIPHENHYDRAMINE HYDROCHLORIDE,12.5,,,25782125.136,150554
00536,4533,SIMETHICONE,80,,,3200332.864,36101
00378,0616,THIORIDAZINE HYDROCHLORIDE,50,,,5985599,87985
00597,0039,TELMISARTAN,20,,,230863,7576
00023,8694,AZELAIC ACID,0.2,,,494448,13854
00472,0380,BETAMETHASONE DIPROPIONATE,0.5,,,2412135.044,51951
00143,1763,TRIHEXYPHENIDYL HYDROCHLORIDE,5,,,1234558,19414
00591,3128,PROGESTERONE,50,,,4942,342
00024,5401,ZOLPIDEM TARTRATE,5,CIV,,49608612.582,1840938
52544,0931,IRON DEXTRAN,50,,,60109.04,6246
00074,6215,DIVALPROEX SODIUM,500,,,292279866.706,3620425
00378,0572,ALBUTEROL SULFATE,4,,,6648000.56,95336
00641,2341,HYDROMORPHONE HYDROCHLORIDE,2,CII,YES,221222,2543
00006,0543,SIMVASTATIN,80,,,17278965.908,559728
49884,0056,IMIPRAMINE HYDROCHLORIDE,50,,,7339392.8,119907
00378,0577,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,5; 50,,,1990862,60699
00052,0109,MIRTAZAPINE,45,,,8216896.232,281523
00093,9433,GLYBURIDE,2.5,,,10090415.372,228221
66490,0690,PRIMIDONE,50,,,2718117.04,30848
00006,0573,INDINAVIR SULFATE,400,,,19572347.6,126674
51672,1297,CLOBETASOL PROPIONATE,0.5,,,520731,8499
64980,0301,HYDROCORTISONE,25,,,3649126.17,109973
00527,1347,LEVOTHYROXINE SODIUM,0.125,,,103683,3318
00143,1787,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",50; 325; 40,,,8352033.996,166216
00555,0831,WARFARIN SODIUM,1,,,23600126.54,605396
66215,0102,BOSENTAN,125,,,800710,13171
00904,7822,CLOTRIMAZOLE,10,,,559182.254,16697
00074,7069,LEVOTHYROXINE SODIUM,150,,,9881988.06,298877
00591,5443,PREDNISONE,20,,,18875565.714,929071
24385,0274,HYDROCORTISONE,1,,,426559.268,12520
00003,5178,PRAVASTATIN SODIUM,20,,,49838690.672,1418309
00051,0021,DRONABINOL,2.5,CIII,,4740929.266,85279
00054,2527,LITHIUM CARBONATE,300,,,69692408.05,781748
00781,2054,TERAZOSIN HYDROCHLORIDE,10,,,3746633.912,99328
00054,4550,METHOTREXATE SODIUM,2.5,,,565624.72,25348
00472,0400,CLOBETASOL PROPIONATE,0.5,,,1945916.594,46047
00052,0108,MIRTAZAPINE,30,,,28334496.302,921880
51672,2013,HYDROCORTISONE,1,,,938986.43,25658
24208,0314,FLURBIPROFEN SODIUM,0.3,,,21627.917,6417
00039,0052,GLYBURIDE,5,,,633607,6925
00597,0058,TAMSULOSIN HYDROCHLORIDE,0.4,,,80774295.974,2214429
00378,0182,PROPRANOLOL HYDROCHLORIDE,10,,,6777587.2,92850
00115,7033,FLUDROCORTISONE ACETATE,0.1,,,7224120.79,174757
24208,0715,PREDNISOLONE SODIUM PHOSPHATE,10,,,169406.03,18807
63323,0272,FLUPHENAZINE DECANOATE,25,,,295916.7,54321
00832,0038,OXYBUTYNIN CHLORIDE,5,,,3963332,58078
00884,0773,GRISEOFULVIN,250,,,1843963,38152
63323,0201,LIDOCAINE HYDROCHLORIDE,10,,,607164.6,41631
63323,0201,LIDOCAINE HYDROCHLORIDE,10,,,607164.6,41631
00591,0348,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,75; 50,,,3657108.39,101806
49884,0590,ZAFIRLUKAST,20,,,2380853.8,67042
00378,0214,HALOPERIDOL,2,,,13721738,248648
00185,0064,CLONAZEPAM,1,CIV,,21870236.064,336481
45802,0014,HYDROCORTISONE,25,,,738385.67,21269
00781,5020,PROCHLORPERAZINE MALEATE,5,,,1719182.52,44742
00002,4455,OLANZAPINE,15,,,2567090.64,69668
00456,0055,"LIOTHYRONINE SODIUM, LEVOTHYROXINE SODIUM",25; 100,,,127832,3493
00007,4894,ROPINIROLE,5,,,613979,6225
00093,0311,LOPERAMIDE HYDROCHLORIDE,2,,,6002796.11,110581
62037,0696,DILTIAZEM HYDROCHLORIDE,120,,,724477.534,21071
49884,0727,DOXYCYCLINE,100,,,170817,5443
00087,6060,METFORMIN HYDROCHLORIDE,500,,,74602450.122,824356
00536,7415,SODIUM PHOSPHATE,7; 19,,,13164642.5,24450
00378,1805,LEVOTHYROXINE SODIUM,75,,,979183,31164
00093,0149,NAPROXEN,500,,,57454781.122,1153861
24208,0730,PROPARACAINE HYDROCHLORIDE,5,,,2270,153
50419,0454,ESTRADIOL,0.025,,,99519.6,21823
00378,0231,ATENOLOL,50,,,59888538.694,2530197
52544,0629,NORETHINDRONE,0.35,,,2923507.36,64778
61787,0062,DEXTROMETHORPHAN HYDROBROMIDE AND GUAIFENESIN,10; 100,,,2247397.48,11325
00009,3375,CLINDAMYCIN PHOSPHATE,12,,,1096266,2301
00085,1264,DESLORATADINE,5,,,96173264.898,8210950
00378,2537,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,25; 37.5,,,17444705.474,531640
00173,0387,CEFUROXIME AXETIL,250,,,413854.05,25397
55513,0530,FILGRASTIM,300,,,351858.816,71527
00555,0286,DIPYRIDAMOLE,75,,,6770266.4,89205
51079,0584,NITROFURANTOIN (MACROCRYSTALS),50,,,93814,3748
50383,0720,CHLORHEXIDINE GLUCONATE,1.2,,,6318169.616,11599
00009,0073,METHYLPREDNISOLONE,16,,,112220,4797
51079,0951,ENALAPRIL MALEATE,5,,,1710691,50161
63739,0047,CARBIDOPA AND LEVODOPA,25; 100,,,2647561,31323
60432,0608,PROMETHAZINE HYDROCHLORIDE,6.25,,,101648231.669,646622
00054,3532,LORAZEPAM,2,CIV,,1871301.38,51860
54838,0115,CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,1; 15; 5,,,7307866,56282
00172,3926,DIAZEPAM,5,CIV,,17274997.502,300434
00173,0524,SUMATRIPTAN,5,,,82433.024,13329
00378,0148,DOXYCYCLINE,100,,,74760,3047
00187,3013,PYRIDOSTIGMINE BROMIDE,180,,,596365,12039
00573,0171,IBUPROFEN,100,,,418730,2667
00781,2823,FLUOXETINE HYDROCHLORIDE,10,,,10033869.722,264200
59148,0011,ARIPIPRAZOLE,30,,,4610790,158603
24385,0403,ACETAMINOPHEN,325,,,2897111.24,31210
00781,1789,DICLOFENAC SODIUM,75,,,11959362.882,209215
00469,0657,TACROLIMUS,5,,,3329927.988,50266
00172,4366,LABETALOL HYDROCHLORIDE,300,,,2847174.2,36563
00056,0188,WARFARIN SODIUM,3,,,9033394.94,411444
66582,0414,EZETIMIBE,10,,,25133737.08,784084
00025,1942,METRONIDAZOLE,375,,,191795.334,9761
00002,4453,OLANZAPINE,5,,,9097397.666,251567
51672,2030,OXYMETAZOLINE HYDROCHLORIDE,0.05,,,106594,4929
00078,0323,RIVASTIGMINE TARTRATE,1.5,,,16324023.708,286779
