Product.Code,Labeler.Code,Substance.Name,Strength,DEA.Schedule,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed
0000,NA,NA,NA,NA,512.09,497.49,14.6
0001,00597,ASPIRIN; DIPYRIDAMOLE,25; 200,Not Control,252225405.49,231542070.09,20683335.4
0002,00168,TRIAMCINOLONE ACETONIDE,5,Not Control,156796594.41,153791295.07,3005299.34
0003,00168,TRIAMCINOLONE ACETONIDE,0.25,Not Control,166716420.42,164085532.68,2630887.74
0004,00168,TRIAMCINOLONE ACETONIDE,1,Not Control,32993505.97,31272768.3,1720737.67
0005,00168,TRIAMCINOLONE ACETONIDE,0.25,Not Control,92560614.85,60997604.4,31563010.45
0006,00065,MOXIFLOXACIN HYDROCHLORIDE,5,Not Control,927628463.86,903340999.24,24287464.62
0007,00054,CALCITRIOL,0.25,Not Control,1369547308.55,1328802390.59,40744917.96
0008,10702,OXYCODONE HYDROCHLORIDE,15,CII,1192085717.06,1147313933.39,44771783.67
0009,10702,OXYCODONE HYDROCHLORIDE,30,CII,679761430.57,661681374.98,18080055.59
0010,00185,LABETALOL HYDROCHLORIDE,100,Not Control,743115096.22,724495702.61,18619393.61
0011,00093,PANTOPRAZOLE SODIUM,20,Not Control,677609720.42,661332206.64,16277513.78
0012,00009,HYDROCORTISONE,5,Not Control,37437732.22,36677368.72,760363.5
0013,29033,PIROXICAM,20,Not Control,121164300.12,114018509.65,7145790.47
0014,00378,METHOTREXATE SODIUM,2.5,Not Control,18136034.64,17890508.11,245526.53
0015,00168,HYDROCORTISONE,10,Not Control,29164531.48,27929191.830000002,1235339.65
0016,59762,CLINDAMYCIN PALMITATE HYDROCHLORIDE,75,Not Control,43836272.7,41515063.84,2321208.86
0017,00054,PREDNISONE,10,Not Control,26878934.6,26029083.64,849850.96
0018,00054,PREDNISONE,20,Not Control,103365051.77,100824138.45,2540913.32
0019,00054,PREDNISONE,50,Not Control,230353740.29,226246245.28,4107495.0100000002
0020,00054,LITHIUM CARBONATE,450,Not Control,44755212.9,43996352.480000004,758860.42
0021,00054,LITHIUM CARBONATE,300,Not Control,142939023.17,141431533.68,1507489.49
