State,Opiate,Number.of.Prescriptions
AK,,206417
AK,YES,2322
AL,,1543387
AL,YES,39365
AR,,830432
AR,YES,6583
CA,,7654515
CA,YES,49918
CO,,580375
CO,YES,4412
CT,,880804
CT,YES,5284
DC,,132664
DC,YES,4086
DE,,182102
DE,YES,2541
FL,,4083774
FL,YES,43654
GA,,2590189
GA,YES,40228
HI,,188059
HI,YES,1491
IA,,856120
IA,YES,6155
ID,,313021
ID,YES,6035
IL,,4003314
IL,YES,14489
IN,,1733047
IN,YES,33326
KS,,548998
KS,YES,10453
KY,,1965179
KY,YES,13303
LA,,1933046
LA,YES,28763
MA,,2574181
MA,YES,10626
MD,,787963
MD,YES,7383
ME,,818823
ME,YES,7686
MI,,2135160
MI,YES,11980
MN,,716891
MN,YES,16535
MO,,2203406
MO,YES,44328
MS,,1338669
MS,YES,14048
MT,,204025
MT,YES,5447
NC,,2899790
NC,YES,31245
ND,,154769
ND,YES,862
NE,,561356
NE,YES,3619
NH,,293534
NH,YES,9389
NJ,,1438495
NJ,YES,11059
NM,,265993
NM,YES,2889
NV,,161156
NV,YES,3344
NY,,7130219
NY,YES,56795
OH,,3782444
OH,YES,75815
OK,,709097
OK,YES,13166
OR,,828546
OR,YES,9141
PA,,2005210
PA,YES,12667
RI,,286241
RI,YES,2033
SC,,1329231
SC,YES,38667
SD,,167963
SD,YES,1258
TN,,3335884
TN,YES,48518
TX,,4278082
TX,YES,52421
UT,,349615
UT,YES,15459
VA,,1179011
VA,YES,17715
VT,,62578
VT,YES,798
WA,,1564623
WA,YES,20386
WI,,1533444
WI,YES,12360
WV,,860642
WV,YES,26973
WY,,83790
WY,YES,757
XX,,71538777
XX,YES,709254
