State,Opiate,Number.of.Prescriptions
AK,,334723
AK,YES,6734
AL,,2488145
AL,YES,22485
AR,,1106061
AR,YES,10500
CA,,12967145
CA,YES,237655
CO,,1095019
CO,YES,21811
CT,,1446762
CT,YES,19648
DC,,214286
DC,YES,8201
DE,,294783
DE,YES,5115
FL,,6922192
FL,YES,72687
GA,,4223668
GA,YES,58913
HI,,320110
HI,YES,2781
IA,,1285499
IA,YES,11857
ID,,445556
ID,YES,7625
IL,,7768419
IL,YES,63976
IN,,2420375
IN,YES,34757
KS,,1071143
KS,YES,8370
KY,,3070740
KY,YES,67349
LA,,2798010
LA,YES,28198
MA,,3195252
MA,YES,26929
MD,,1526989
MD,YES,38760
ME,,1192970
ME,YES,15593
MI,,3692948
MI,YES,51389
MN,,1156820
MN,YES,23571
MO,,3915339
MO,YES,67073
MS,,1883905
MS,YES,20690
MT,,324131
MT,YES,6115
NC,,4631313
NC,YES,51731
ND,,205793
ND,YES,4321
NE,,909996
NE,YES,11707
NH,,469378
NH,YES,11421
NJ,,2856326
NJ,YES,23807
NM,,172008
NM,YES,2249
NV,,400481
NV,YES,10414
NY,,11932615
NY,YES,70636
OH,,6218577
OH,YES,150564
OK,,1535437
OK,YES,8247
OR,,843616
OR,YES,22841
PA,,3118670
PA,YES,66102
RI,,504890
RI,YES,4691
SC,,2422977
SC,YES,34597
SD,,295439
SD,YES,3607
TN,,110626976
TN,YES,45477
TX,,7259054
TX,YES,58771
UT,,712615
UT,YES,10484
VA,,1993204
VA,YES,31893
VT,,137230
VT,YES,2341
WA,,2565658
WA,YES,70364
WI,,3249440
WI,YES,43466
WV,,1471030
WV,YES,27887
WY,,128110
WY,YES,3961
XX,,220342259
XX,YES,1519300
