State,Opiate,Number.of.Prescriptions
AK,,67601
AK,YES,4048
AL,,807130
AL,YES,7887
AR,,363581
AR,YES,4637
CA,,4650290
CA,YES,43941
CO,,333694
CO,YES,5085
CT,,632547
CT,YES,21013
DC,,127347
DC,YES,4124
DE,,80799
DE,YES,3518
FL,,2324960
FL,YES,67126
GA,,981377
GA,YES,13840
HI,,133322
HI,YES,2143
IA,,573634
IA,YES,7378
ID,,75924
ID,YES,598
IL,,2168266
IL,YES,5200
IN,,239195
IN,YES,1815
KS,,272127
KS,YES,174
KY,,849752
KY,YES,8100
LA,,1109633
LA,YES,20825
MA,,1949103
MA,YES,106564
MD,,337221
MD,YES,7687
ME,,380662
ME,YES,16288
MI,,1268153
MI,YES,4596
MN,,414585
MO,,935930
MO,YES,150
MS,,625730
MS,YES,6329
MT,,138917
MT,YES,5117
NC,,1180433
NC,YES,2593
ND,,84061
ND,YES,926
NE,,337978
NE,YES,6299
NH,,184926
NH,YES,11601
NJ,,988323
NJ,YES,35541
NM,,129339
NM,YES,6071
NV,,97537
NV,YES,4691
NY,,3895644
NY,YES,27648
OH,,1631194
OK,,324312
OK,YES,2635
OR,,300744
OR,YES,4531
PA,,1907257
PA,YES,61315
RI,,226634
RI,YES,3226
SC,,503486
SC,YES,6161
SD,,93872
SD,YES,1091
TX,,1727960
TX,YES,4303
UT,,171394
UT,YES,4951
VA,,877646
VA,YES,21015
VT,,96435
VT,YES,5981
WA,,851896
WA,YES,29941
WI,,958121
WI,YES,26092
WV,,632712
WV,YES,13674
WY,,47396
WY,YES,1590
XX,,35499662
XX,YES,336746
