State,Opiate,Number.of.Prescriptions
AK,,26121
AK,YES,1752
AL,,469325
AL,YES,4691
AR,,242519
AR,YES,2321
CA,,2521232
CA,YES,26851
CO,,165491
CO,YES,5071
CT,,339306
CT,YES,15398
DC,,73563
DC,YES,2603
DE,,43489
DE,YES,3162
FL,,1292010
FL,YES,42193
GA,,351490
HI,,87521
HI,YES,1185
IA,,341237
IA,YES,4248
ID,,77620
ID,YES,676
IL,,1212602
IL,YES,2486
IN,,661031
IN,YES,5203
KS,,188190
KS,YES,6452
KY,,630634
KY,YES,2387
LA,,734667
LA,YES,12477
MA,,695682
MA,YES,68069
MD,,324332
MD,YES,22932
ME,,171837
ME,YES,11977
MI,,896472
MI,YES,5827
MN,,349198
MN,YES,2961
MO,,362683
MO,YES,1475
MS,,435908
MS,YES,2823
MT,,87814
MT,YES,1989
NC,,551261
NC,YES,893
ND,,57641
ND,YES,859
NE,,192686
NE,YES,2680
NH,,84482
NH,YES,8650
NJ,,662739
NJ,YES,25594
NM,,86258
NM,YES,7376
NV,,50212
NV,YES,3517
NY,,866469
NY,YES,5318
OH,,1116088
OH,YES,3608
OK,,202538
OK,YES,4098
OR,,236826
OR,YES,8169
PA,,1342726
PA,YES,43626
RI,,76860
RI,YES,1314
SC,,309281
SC,YES,2168
SD,,57756
SD,YES,610
TN,,18669
TN,YES,95
TX,,1162422
TX,YES,1765
UT,,75247
UT,YES,595
VA,,524566
VA,YES,15873
VT,,79783
VT,YES,7221
WA,,474292
WA,YES,14699
WI,,601600
WI,YES,19340
WV,,339219
WV,YES,5787
WY,,19886
WY,YES,613
XX,,19069752
XX,YES,33978
