Product.Code,Prescriptions,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed,Product.Name,DEA.Schedule
0000,159,512.09,497.49,14.6,"OMEGA-3 1,",Not Control
0001,1913439,252225405.49,231542070.09,20683335.4,AGGRENOX,Not Control
0002,529021,156796594.41,153791295.07,3005299.34,TRIAMCINOL,Not Control
0003,1703415,166716420.42,164085532.68,2630887.74,TRIAMCINOL,Not Control
0004,1480454,32993505.97,31272768.3,1720737.67,TRIAMCINOL,Not Control
0005,1259388,92560614.85,60997604.4,31563010.45,TRIAMCINOL,Not Control
0006,2839846,927628463.86,903340999.24,24287464.62,MOXEZA,Not Control
0007,3011903,1369547308.55,1328802390.59,40744917.96,CALCITRIOL,Not Control
0008,4637962,1192085717.06,1147313933.39,44771783.67,OXYCODONE,Not Control
0009,1816962,679761430.57,661681374.98,18080055.59,OXYCODONE,Not Control
0010,2943211,743115096.22,724495702.61,18619393.61,LABETALOL,Not Control
0011,1921494,677609720.42,661332206.64,16277513.78,PANTOPRAZO,Not Control
0012,1756816,37437732.22,36677368.72,760363.5,CORTEF,Not Control
0013,1118251,121164300.12,114018509.65,7145790.47,PIROXICAM,Not Control
0014,552647,18136034.64,17890508.11,245526.53,METHOTREXA,Not Control
0015,1698147,29164531.48,27929191.830000002,1235339.65,HYDROCORTI,Not Control
0016,671103,43836272.7,41515063.84,2321208.86,CLINDAMYCI,Not Control
0017,1659189,26878934.6,26029083.64,849850.96,PREDNISONE,Not Control
0018,4261751,103365051.77,100824138.45,2540913.32,PREDNISONE,Not Control
0019,1535008,230353740.29,226246245.28,4107495.0100000002,PREDNISONE,Not Control
0020,732890,44755212.9,43996352.480000004,758860.42,LITHIUM CA,Not Control
0021,686485,142939023.17,141431533.68,1507489.49,LITHIUM CA,Not Control
0022,675881,34704978.75,34088544.78,616433.97,ORPHENADRI,Not Control
0023,267143,20334985.22,19161076.27,1173908.95,SIMVASTATI,Not Control
0024,1351929,293988489.04,290857320.16,3131168.88,COMBIVENT,Not Control
0025,449689,36013993.76,32978660.09,3035333.67,LISINOPRIL,Not Control
0026,6082765,22793050.61,22436174.79,356875.82,ENALAPRIL,Not Control
0027,731348,18238686.03,17768229.87,470456.16,HYDRALAZIN,Not Control
0028,2118782,24662427.54,21909237.35,2753190.19,NADOLOL,Not Control
0029,670029,10909358.83,10689898.88,219459.95,ENALAPRIL,Not Control
0030,2179941,371331376.35,309202347.63,62129028.72,FENTANYL C,Not Control
0031,1177598,19166017.8,18498098.17,667919.63,MIRTAZAPIN,Not Control
0032,1417357,32248505.42,28074024.66,4174480.76,STROMECTOL,Not Control
0033,715921,28303702.45,26450169.92,1853532.53,PENTOXIFYL,Not Control
