State,Opiate,Number.of.Prescriptions
AK,,189490
AK,YES,6678
AL,,1155103
AL,YES,8247
AR,,938140
AR,YES,15138
CA,,7103729
CA,YES,143464
CO,,699710
CO,YES,13951
CT,,490911
CT,YES,12632
DC,,146379
DC,YES,1811
DE,,336638
DE,YES,8913
FL,,3160405
FL,YES,28660
GA,,1575033
GA,YES,15639
HI,,128870
HI,YES,8366
IA,,913883
IA,YES,13234
ID,,348416
ID,YES,12245
IL,,4382340
IL,YES,79519
IN,,1118296
IN,YES,22003
KS,,427662
KS,YES,5395
KY,,2196252
KY,YES,22703
LA,,2116128
LA,YES,19220
MA,,2048731
MA,YES,15022
MD,,521568
MD,YES,6847
ME,,697721
ME,YES,11874
MI,,1645626
MI,YES,10666
MN,,683419
MN,YES,17122
MO,,1584518
MO,YES,32569
MS,,971100
MS,YES,20668
MT,,177124
MT,YES,8117
NC,,2994494
NC,YES,82961
ND,,98108
ND,YES,3256
NE,,568710
NE,YES,9164
NH,,274597
NH,YES,4654
NJ,,1024054
NJ,YES,29281
NM,,32042
NM,YES,390
NV,,239012
NV,YES,8434
NY,,8783965
NY,YES,44628
OH,,2220238
OH,YES,31743
OK,,1090801
OK,YES,11100
OR,,427125
OR,YES,11811
PA,,1745089
PA,YES,20198
RI,,212967
RI,YES,5350
SC,,1322755
SC,YES,24191
SD,,590549553
SD,YES,12310900
TN,,2330375
TN,YES,21668
TX,,6024657
TX,YES,123263
UT,,445768
UT,YES,7834
VA,,875848
VA,YES,15997
VT,,74906
VT,YES,3235
WA,,1524537
WA,YES,45461
WI,,1554878
WI,YES,27329
WV,,1258023
WV,YES,17414
WY,,77257
WY,YES,2357
XX,,641297519
XX,YES,15139440
