State,Opiate,Number.of.Prescriptions
AK,,40857
AK,YES,1698
AL,,634043
AL,YES,4929
AR,,335556
AR,YES,3826
CA,,2854936
CA,YES,34728
CO,,202306
CO,YES,6177
CT,,491192
CT,YES,20809
DC,,73351
DC,YES,2276
DE,,59118
DE,YES,3102
FL,,1796682
FL,YES,51689
GA,,877168
HI,,108438
HI,YES,953
IA,,431322
IA,YES,5286
ID,,90297
ID,YES,1758
IL,,1621446
IL,YES,3530
IN,,254340
IN,YES,1238
KS,,106870
KS,YES,13
KY,,855915
KY,YES,5202
LA,,923803
LA,YES,16553
MA,,1233276
MA,YES,86367
MD,,407235
MD,YES,24574
ME,,232562
ME,YES,8091
MI,,1155398
MI,YES,5468
MN,,406739
MN,YES,557
MO,,543944
MO,YES,210
MS,,442089
MS,YES,3731
MT,,99845
MT,YES,2666
NC,,598078
NC,YES,135
ND,,81166
ND,YES,879
NE,,203994
NE,YES,3017
NH,,63207
NH,YES,5906
NJ,,814349
NJ,YES,30357
NM,,178537
NM,YES,13342
NV,,48339
NV,YES,3007
NY,,2455446
NY,YES,13351
OH,,1017623
OH,YES,2079
OK,,262625
OK,YES,2651
OR,,196835
OR,YES,4671
PA,,1759569
PA,YES,34205
RI,,196581
RI,YES,3050
SC,,337333
SC,YES,2429
SD,,66216
SD,YES,607
TX,,1341021
TX,YES,1232
UT,,119467
UT,YES,931
VA,,607579
VA,YES,14249
VT,,77128
VT,YES,6828
WA,,608370
WA,YES,24295
WI,,735338
WI,YES,21892
WV,,400221
WV,YES,6231
WY,,32083
WY,YES,930
XX,,23333553
XX,YES,166228
