State,Opiate,Number.of.Prescriptions
AK,,35851
AK,YES,2009
AL,,615006
AL,YES,9318
AR,,325321
AR,YES,4131
CA,,2682456
CA,YES,37246
CO,,136210
CO,YES,5165
CT,,477094
CT,YES,25898
DC,,86517
DC,YES,2514
DE,,53725
DE,YES,3564
FL,,1305523
FL,YES,39945
GA,,462528
HI,,53282
HI,YES,453
IA,,311678
IA,YES,4886
ID,,87055
ID,YES,1168
IL,,1142171
IL,YES,7730
IN,,386883
IN,YES,3318
KS,,67930
KS,YES,2198
KY,,852749
KY,YES,12042
LA,,846194
LA,YES,12345
MA,,827144
MA,YES,64286
MD,,361312
MD,YES,23783
ME,,216873
ME,YES,12131
MI,,1107024
MI,YES,11532
MN,,325748
MO,,483504
MS,,527601
MS,YES,4205
MT,,83944
MT,YES,3588
NC,,565572
NC,YES,1781
ND,,71724
ND,YES,1016
NE,,232157
NE,YES,3514
NH,,125790
NH,YES,11960
NJ,,617247
NJ,YES,22435
NM,,113814
NM,YES,10936
NV,,61491
NV,YES,3939
NY,,2143720
NY,YES,13322
OH,,861848
OK,,205561
OK,YES,4922
OR,,242038
OR,YES,7476
PA,,1699497
PA,YES,53020
RI,,131643
RI,YES,2418
SC,,405463
SC,YES,5366
SD,,53900
SD,YES,645
TX,,933698
UT,,102229
VA,,669605
VA,YES,18736
VT,,72180
VT,YES,6315
WA,,454714
WA,YES,18217
WI,,689400
WI,YES,28876
WV,,431993
WV,YES,8381
WY,,22334
WY,YES,967
XX,,14625276
XX,YES,108456
