Product.Code,Prescriptions,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed,Product.Name,DEA.Schedule
0000,12,48.43,34.13,14.3,"OMEGA-3 1,",Not Control
0001,868586,76361061.91,64814133.2,11546928.709999999,AGGRENOX,Not Control
0002,307674,27777314.03,24261024.17,3516289.86,TRIAMCINOL,Not Control
0003,595597,12678746.32,11668185.47,1010560.85,TRIAMCINOL,Not Control
0004,528451,12767977.55,11630173.33,1137804.22,TRIAMCINOL,Not Control
0005,1229374,92320240.42999999,60523310.18,31796930.25,TRIAMCINOL,Not Control
0006,954452,169960524.46,167290652.62,2669871.84,MOXEZA,Not Control
0007,731473,59477538.31,58970105.65,507432.66,CALCITRIOL,Not Control
0008,1206005,102771390.64,90886373.2,11885017.44,OXYCODONE,Not Control
0009,325310,23768221.71,23561021.04,207200.67,OXYCODONE,Not Control
0010,921365,81586058.18,79964167.37,1621890.81,LABETALOL,Not Control
0011,630478,75630185.11,69824558.95,5805626.16,PANTOPRAZO,Not Control
0012,812422,16420937.48,15915676.08,505261.4,CORTEF,Not Control
0013,584556,15529034.73,14997512.8,531521.93,PIROXICAM,Not Control
0014,612721,13842477.81,13548764.6,293713.21,METHOTREXA,Not Control
0015,391566,10439319.96,9990817.870000001,448502.08999999997,HYDROCORTI,Not Control
0016,184515,12300011.530000001,11457252.89,842758.64,CLINDAMYCI,Not Control
0017,544717,7130181.11,5041206.42,2088974.69,PREDNISONE,Not Control
0018,1329913,24203428.06,22083183.49,2120244.57,PREDNISONE,Not Control
0019,808289,74552816.34,72306954.12,2245862.22,PREDNISONE,Not Control
0020,180628,16122962.4,15440336.22,682626.18,LITHIUM CA,Not Control
0021,191118,46640500.11,43078610.45,3561889.66,LITHIUM CA,Not Control
0022,143891,5319267.93,5211805.36,107462.57,ORPHENADRI,Not Control
0023,99225,8231795.15,5450102.65,2781692.5,SIMVASTATI,Not Control
0024,321040,81698792.23,80657183.02,1041609.21,COMBIVENT,Not Control
0025,93469,16671923.46,13382154.94,3289768.52,LISINOPRIL,Not Control
0026,1388931,5689750.2,5560607.6,129142.6,ENALAPRIL,Not Control
0027,123810,3590336.07,2192094.51,1398241.56,HYDRALAZIN,Not Control
0028,197747,5817549.24,4900649.69,916899.55,NADOLOL,Not Control
0029,94399,1542930.23,1526609.52,16320.71,ENALAPRIL,Not Control
