Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
00832,0300,CHLORPROMAZINE HYDROCHLORIDE,10,,,543642,7935
59762,3720,ALPRAZOLAM,0.5,CIV,,47954020.462,748008
00143,1227,DICYCLOMINE HYDROCHLORIDE,20,,,2463767,35547
60758,0801,TIMOLOL MALEATE,5,,,128528.166,12622
51079,0584,NITROFURANTOIN (MACROCRYSTALS),50,,,410719,15086
24208,0780,"NEOMYCIN SULFATE, POLYMYXIN B SULFATE AND BACITRACIN ZINC",3.5; 10000; 400,,,43883.97,10842
60432,0671,ERYTHROMYCIN,20,,,541706.02,8850
00456,4020,CITALOPRAM HYDROBROMIDE,20,,,37920278.7,1163167
00173,0446,ONDANSETRON HYDROCHLORIDE,4,,,800934.62,31244
00555,0158,CHLORDIAZEPOXIDE HYDROCHLORIDE,5,CIV,,3197328,53238
00049,4910,SERTRALINE HYDROCHLORIDE,100,,,100996592.96,2803912
00228,2497,NIFEDIPINE,10,,,4952166,71346
00009,0056,METHYLPREDNISOLONE,4,,,254330,6792
00228,2067,OXAZEPAM,10,CIV,,2777497,52456
00378,4001,ALPRAZOLAM,0.25,CIV,,3809118.38,75026
00781,1123,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,37.5; 25,,,11852922.66,389026
00172,3926,DIAZEPAM,5,CIV,,11529270.13,192520
00603,1075,CODEINE PHOSPHATE AND GUAIFENESIN,10; 100,CV,YES,16278954.32,88548
00126,0192,STANNOUS FLUORIDE,4,,,1250285.3,7865
53489,0281,"DIHYDROERGOCORNINE MESYLATE, DIHYDROERGOCRISTINE MESYLATE, DIHYDRO-.ALPHA.-ERGOCRYPTINE MESYLATE, AND DIHYDRO-.BETA.-ERGOCRYPTINE MESYLATE",.333; .333; .222; .111,,,2159065.39,25942
00904,1748,IBUPROFEN,400,,,904493,17630
00025,1021,SPIRONOLACTONE AND HYDROCHLOROTHIAZIDE,50; 50,,,484285,11436
00555,0572,METHOTREXATE,2.5,,,3783650.506,158830
00781,1764,IMIPRAMINE HYDROCHLORIDE,25,,,20381361.6,332706
00185,0724,CARISOPRODOL AND ASPIRIN,200; 325,CIV,,659599,13058
00093,3107,AMOXICILLIN,250,,,9571229,343395
00093,0264,FLUOCINONIDE,0.5,,,7286084.24,124059
00555,0831,WARFARIN SODIUM,1,,,9407691.4,241319
00832,0304,CHLORPROMAZINE HYDROCHLORIDE,200,,,1521032,20870
00006,0072,FINASTERIDE,5,,,9887078.492,300353
00085,0819,NITROGLYCERIN,160,,,528025,17053
00378,0618,THIORIDAZINE HYDROCHLORIDE,100,,,12628814.48,182698
00054,4301,FUROSEMIDE,80,,,5074035.9,120491
60432,0037,LACTULOSE,10,,,62053940.11,81680
00777,3105,FLUOXETINE HYDROCHLORIDE,20,,,243695110.84,5460530
00054,4186,DEXAMETHASONE,6,,,11909,225
00169,0082,REPAGLINIDE,1,,,7440636,80966
00009,3448,CLINDAMYCIN PHOSPHATE,20,,,7519588.22,187441
00832,1015,AMANTADINE HYDROCHLORIDE,100,,,2497529,56781
00224,1801,PSYLLIUM HUSK,6,,,625572,1610
51672,2002,CLOTRIMAZOLE,1,,,902685,26812
00378,0156,PROBENECID,500,,,1264978,23729
00904,7727,ALUMINUM HYDROXIDE AND MAGNESIUM CARBONATE,95; 358,,,932790,1706
00023,2181,KETOROLAC TROMETHAMINE,5,,,1941586.715,326499
00378,0574,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,4; 25,,,6399021,80392
00781,2074,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,37.5; 25,,,15687422.28,456251
00777,3104,FLUOXETINE HYDROCHLORIDE,10,,,41493600.198,1172001
00378,0327,HALOPERIDOL,5,,,19253129,354172
00713,0109,BISACODYL,10,,,1729865.012,128271
00054,4721,PROPANTHELINE BROMIDE,15,,,4458357,49090
37205,0530,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE",200; 200; 20,,,2598926,4432
51079,0073,FUROSEMIDE,40,,,5164477.74,152679
49348,0279,CLOTRIMAZOLE,10,,,3330,96
00023,8335,TAZAROTENE,0.5,,,503977,9422
00264,2101,WATER,1,,,161361799.516,18665
00904,7734,MICONAZOLE NITRATE,2,,,658316.859,14454
49884,0459,FENTANYL CITRATE,200,CII,YES,2879434.085,24884
00069,3140,AZITHROMYCIN DIHYDRATE,200,,,10405413.914,329703
63868,0983,IBUPROFEN,200,,,2010,19
00904,5180,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN",10; 100,,,44400,201
61570,0047,NEOMYCIN SULFATE - POLYMYXIN B SULFATE,40; 200000,,,244042,3571
00056,0170,WARFARIN SODIUM,2,,,23652875.674,650953
00065,0647,TOBRAMYCIN AND DEXAMETHASONE,3; 1,,,3150910.83,546761
00264,5535,METRONIDAZOLE,500,,,308516,260
00003,0293,TRIAMCINOLONE ACETONIDE,40,,,256421.702,18167
53489,0332,IMIPRAMINE HYDROCHLORIDE,50,,,1739647,28212
00054,2531,LITHIUM CARBONATE,600,,,677672,14312
00024,1535,HEXACHLOROPHENE,30,,,21106171.316,72851
00378,1700,NITROFURANTOIN (MACROCRYSTALS),100,,,912428,29243
00781,1398,HALOPERIDOL,20,,,1082459.21,20425
00093,4150,AMOXICILLIN,125,,,81609035.514,583340
00228,2551,DICLOFENAC SODIUM,75,,,6812031.4,116398
45802,0059,NYSTATIN,100000,,,2251063.4899999998,72308
51672,1263,NYSTATIN AND TRIAMCINOLONE ACETONIDE,100000; 1,,,3859018,114208
37205,0712,"DEXTROMETHORPHAN HBR, GUAIFENESIN",20; 200,,,2274,18
00054,3294,FUROSEMIDE,10,,,19223771.32,202460
50419,0451,ESTRADIOL,0.05,,,516110.032,109108
00005,2500,CALCIUM POLYCARBOPHIL,625,,,2967481,37076
00025,1911,VERAPAMIL HYDROCHLORIDE,180,,,531036.8,13084
00904,2720,POTASSIUM BICARBONATE,25,,,310129,6999
08880,9505,SILVER SULFADIAZINE,10,,,17440288.6,151835
00998,0408,HYPROMELLOSE 2910,5,,,91469,5762
00378,4070,KETOPROFEN,50,,,472532,8442
51672,1254,FLUOCINONIDE,0.5,,,818182,16622
