State,Opiate,Number.of.Prescriptions
AK,,249900
AK,YES,11840
AL,,2352874
AL,YES,50419
AR,,1284845
AR,YES,41644
CA,,9151148
CA,YES,320771
CO,,880574
CO,YES,50419
CT,,1457277
CT,YES,80449
DC,,129568
DC,YES,4570
DE,,550865
DE,YES,53532
FL,,4152734
FL,YES,73857
GA,,2024093
GA,YES,20696
HI,,19525
HI,YES,453
IA,,1089106
IA,YES,9331
ID,,444892
ID,YES,20482
IL,,6349063
IL,YES,65136
IN,,1397444
IN,YES,35860
KS,,575323
KS,YES,15265
KY,,2947883
KY,YES,55291
LA,,2755937
LA,YES,31705
MA,,2551319
MA,YES,38808
MD,,750902
MD,YES,11587
ME,,873811
ME,YES,47180
MI,,2117323
MI,YES,11691
MN,,888393
MN,YES,23702
MO,,2249716
MO,YES,94366
MS,,1289233
MS,YES,11566
MT,,238054
MT,YES,10974
NC,,4446411
NC,YES,191281
ND,,141496
ND,YES,5983
NE,,733280
NE,YES,30662
NH,,422712
NH,YES,18429
NJ,,1483742
NJ,YES,83557
NM,,18161
NM,YES,221
NV,,326546
NV,YES,13082
NY,,12476021
NY,YES,179729
OH,,2198983
OH,YES,44541
OK,,1469709
OK,YES,40129
OR,,527931
OR,YES,19405
PA,,2213820
PA,YES,44652
RI,,167494
RI,YES,6575
SC,,1261876
SC,YES,16584
SD,,207810
SD,YES,7215
TN,,3368175
TN,YES,91700
TX,,7886483
TX,YES,155704
UT,,630266
UT,YES,45932
VA,,1264359
VA,YES,46894
VT,,379189
VT,YES,24266
WA,,1524315
WA,YES,90250
WI,,3474661
WI,YES,113996
WV,,1636906
WV,YES,53152
WY,,115465
WY,YES,1623
XX,,92897858
XX,YES,2070665
