State,Opiate,Number.of.Prescriptions
AK,,377749
AK,YES,37193
AL,,2223654
AL,YES,146680
AR,,1345000
AR,YES,127335
AZ,,5482313
AZ,YES,510467
CA,,26785678
CA,YES,2225304
CO,,2785087
CO,YES,355433
CT,,2804289
CT,YES,150556
DC,,724753
DC,YES,48719
DE,,753973
DE,YES,76348
FL,,10198456
FL,YES,564021
GA,,4974673
GA,YES,368879
HI,,714585
HI,YES,69593
IA,,1740032
IA,YES,107965
ID,,683122
ID,YES,78611
IL,,7625550
IL,YES,678410
IN,,4941569
IN,YES,413604
KS,,967112
KS,YES,91049
KY,,7106265
KY,YES,464291
LA,,4192981
LA,YES,363407
MA,,4412585
MA,YES,198782
MD,,4199254
MD,YES,312951
ME,,738203
ME,YES,32263
MI,,9025796
MI,YES,924630
MN,,3887226
MN,YES,248680
MO,,3979628
MO,YES,311572
MS,,1623056
MS,YES,146908
MT,,561992
MT,YES,45772
NC,,5244668
NC,YES,452132
ND,,243198
ND,YES,11754
NE,,714727
NE,YES,68337
NH,,397960
NH,YES,23946
NJ,,6325028
NJ,YES,353783
NM,,1672381
NM,YES,166058
NV,,1848002
NV,YES,234319
NY,,20466395
NY,YES,481521
OH,,12396636
OH,YES,766881
OK,,1644897
OK,YES,188073
OR,,2816669
OR,YES,195323
PA,,10170661
PA,YES,608652
RI,,983724
RI,YES,54012
SC,,1861615
SC,YES,115720
SD,,277740
SD,YES,26696
TN,,4164822
TN,YES,455866
TX,,9530986
TX,YES,480415
UT,,717847
UT,YES,69485
VA,,3074223
VA,YES,206074
VT,,406495
VT,YES,21695
WA,,4163788
WA,YES,220454
WI,,3440641
WI,YES,298083
WV,,3037685
WV,YES,185901
WY,,147781
WY,YES,8729
XX,,210722264
XX,YES,13715207
