State,Opiate,Number.of.Prescriptions
AK,,192118
AK,YES,10252
AL,,1585604
AL,YES,54470
AR,,868733
AR,YES,19200
CA,,6634956
CA,YES,116510
CO,,637766
CO,YES,19998
CT,,459324
CT,YES,8821
DC,,122864
DC,YES,1463
DE,,290316
DE,YES,8329
FL,,3139515
FL,YES,84689
GA,,2426274
GA,YES,67102
HI,,139098
HI,YES,3360
IA,,725541
IA,YES,7798
ID,,308250
ID,YES,14913
IL,,4372139
IL,YES,66500
IN,,1154640
IN,YES,38772
KS,,501673
KS,YES,14427
KY,,2222710
KY,YES,83048
LA,,1801418
LA,YES,65096
MA,,1976651
MA,YES,39181
MD,,664692
MD,YES,11694
ME,,600135
ME,YES,32155
MI,,1743855
MI,YES,19418
MN,,578202
MN,YES,13625
MO,,1851855
MO,YES,66049
MS,,952003
MS,YES,27074
MT,,177354
MT,YES,8133
NC,,2777811
NC,YES,82465
ND,,96496
ND,YES,3367
NE,,513312
NE,YES,9418
NH,,269024
NH,YES,5392
NJ,,1078713
NJ,YES,18700
NM,,43537
NM,YES,866
NV,,243249
NV,YES,12357
NY,,8429723
NY,YES,136923
OH,,3963499
OH,YES,118726
OK,,956616
OK,YES,52834
OR,,438207
OR,YES,12294
PA,,2055498
PA,YES,53932
RI,,182043
RI,YES,1494
SC,,1354198
SC,YES,42379
SD,,142764
SD,YES,2648
TN,,391695834
TN,YES,5023789
TX,,4845578
TX,YES,131846
UT,,448803
UT,YES,27721
VA,,912445
VA,YES,26129
VT,,67520
VT,YES,2552
WA,,820848735
WA,YES,17184188
WI,,1554612
WI,YES,26003
WV,,1151303
WV,YES,55278
WY,,98884
WY,YES,3544
XX,,1318788691
XX,YES,24354610
