State,Opiate,Number.of.Prescriptions
AK,,313475
AK,YES,22473
AL,,2520193
AL,YES,77476
AR,,1365448
AR,YES,81687
AZ,,4443064
AZ,YES,298642
CA,,14845077
CA,YES,792475
CO,,1165642
CO,YES,89246
CT,,1976888
CT,YES,95476
DC,,440170
DC,YES,14120
DE,,620901
DE,YES,57743
FL,,7734062
FL,YES,413802
GA,,4053982
GA,YES,133607
HI,,585098
HI,YES,40809
IA,,1242934
IA,YES,59542
ID,,634812
ID,YES,52512
IL,,5430273
IL,YES,440684
IN,,3237825
IN,YES,178470
KS,,858327
KS,YES,33943
KY,,4110389
KY,YES,160842
LA,,3298092
LA,YES,133820
MA,,3650559
MA,YES,110446
MD,,2723455
MD,YES,187889
ME,,1179394
ME,YES,87294
MI,,6126947
MI,YES,398293
MN,,2739470
MN,YES,183833
MO,,3782554
MO,YES,274686
MS,,1451529
MS,YES,81925
MT,,285354
MT,YES,24029
NC,,4800176
NC,YES,237424
ND,,162580
ND,YES,16636
NE,,771364
NE,YES,36779
NH,,484108
NH,YES,20945
NJ,,2984745
NJ,YES,99762
NM,,958695
NM,YES,66572
NV,,653452
NV,YES,42128
NY,,15573672
NY,YES,428144
OH,,6180538
OH,YES,400931
OK,,1697715
OK,YES,78813
OR,,1723268
OR,YES,105579
PA,,8332013
PA,YES,347375
RI,,651311
RI,YES,21419
SC,,2118050
SC,YES,67607
SD,,205686
SD,YES,14955
TN,,3315368
TN,YES,143516
TX,,7477536
TX,YES,439703
UT,,774942
UT,YES,53996
VA,,3013301
VA,YES,142955
VT,,409373
VT,YES,32654
WA,,3072780
WA,YES,172041
WI,,3419597
WI,YES,150000
WV,,1867332
WV,YES,88922
WY,,140261
WY,YES,7074
XX,,144048515
XX,YES,7386031
