Product.Code,Prescriptions,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed,Product.Name,DEA.Schedule
0000,88,410.35,295.39,114.96,"OMEGA-3 1,",Not Control
0001,3251740,339896741.81,307534406.44,32362335.37,AGGRENOX,Not Control
0002,1227027,110313550.92,102586288.6,7727262.32,TRIAMCINOL,Not Control
0003,2292853,58840975.35,56250327.64,2590647.71,TRIAMCINOL,Not Control
0004,2305799,43840543.58,41381767.61,2458775.97,TRIAMCINOL,Not Control
0005,4145318,326350900.44,215192777.28,111158123.16,TRIAMCINOL,Not Control
0006,4083531,869358048.38,863189385.33,6168663.05,MOXEZA,Not Control
0007,3532504,657152064.75,652371963.44,4780101.31,CALCITRIOL,Not Control
0008,5388236,741059242.34,693584638.75,47474603.59,OXYCODONE,Not Control
0009,1713005,304240212.81,302419886.74,1820326.07,OXYCODONE,Not Control
0010,4365322,410610580.9,405739790.21999997,4870790.68,LABETALOL,Not Control
0011,3019548,452023510.8,424590711.6,27432799.2,PANTOPRAZO,Not Control
0012,3236193,62641347.69,61874504.72,766842.97,CORTEF,Not Control
0013,2688960,73528653.23,71836100.64,1692552.59,PIROXICAM,Not Control
0014,2173829,57206852.69,56640663.64,566189.05,METHOTREXA,Not Control
0015,1531060,36229113.79,35281455.38,947658.41,HYDROCORTI,Not Control
0016,688324,48712734.67,46804454.52,1908280.15,CLINDAMYCI,Not Control
0017,2171356,27374708.4,25339366.9,2035341.5,PREDNISONE,Not Control
0018,5719098,102551948.35,99534616.38,3017331.97,PREDNISONE,Not Control
0019,3383709,287609869.03,283597090.4,4012778.63,PREDNISONE,Not Control
0020,907661,73979524.44,71718625.13,2260899.31,LITHIUM CA,Not Control
0021,799308,209503398.22,203979615.33,5523782.890000001,LITHIUM CA,Not Control
0022,703606,30563283.830000002,30197912.18,365371.65,ORPHENADRI,Not Control
0023,413844,22244618.95,19363938.36,2880680.59,SIMVASTATI,Not Control
0024,1299100,349953065.51,346924078.95,3028986.56,COMBIVENT,Not Control
0025,332831,46680890.22,42381361.42,4299528.8,LISINOPRIL,Not Control
0026,7111260,22957907.92,22744665.28,213242.63999999998,ENALAPRIL,Not Control
0027,560770,12229779.36,11472320.63,757458.73,HYDRALAZIN,Not Control
0028,598644,26553428.19,17338977.77,9214450.42,NADOLOL,Not Control
0029,447238,12392797.2,12327771.11,65026.09,ENALAPRIL,Not Control
0030,748510,570188182.55,477727272.74,92460909.81,FENTANYL C,Not Control
0031,2354293,41954723.76,37729516.13,4225207.63,MIRTAZAPIN,Not Control
0032,2013546,46627291.55,38779373.51,7847918.04,STROMECTOL,Not Control
0033,2713533,49996926.24,48783855.19,1213071.05,PENTOXIFYL,Not Control
0034,282660,6266913.53,6186120.73,80792.8,TIZANIDINE,Not Control
0035,987032,20978948.14,20025573.68,953374.46,KLOR-CON,Not Control
0036,836415,32371438.84,29192048.73,3179390.11,RISPERIDON,Not Control
0037,445468,49262580.84,48749214.42,513366.42,LACTULOSE,Not Control
0038,893597,79154231.22,77839842.17999999,1314389.04,OXYBUTYNIN,Not Control
0039,558611,49795219.29,47559807.79,2235411.5,LAMOTRIGIN,Not Control
0040,1019782,463536391.61,434165438.11,29370953.5,BETAMETHAS,Not Control
0041,1299430,48923248.15,44883023.63,4040224.52,KLOR-CON 1,Not Control
0042,2717699,68886042.08,62343950.2,6542091.88,ALLOPURINO,Not Control
0043,194176,19118998.66,17257008.18,1861990.48,NUTROPIN A,Not Control
0044,1315840,141926672.4,134760721.69,7165950.71,REBIF,Not Control
0045,550824,38964376.21,37988507.65,975868.56,IPRATROPIU,Not Control
0046,340352,21330981.73,21040375.12,290606.61,IPRATROPIU,Not Control
0047,1411651,23496571.46,19139315.81,4357255.65,SOLU-MEDRO,Not Control
0048,618501,12532229.33,12329955.13,202274.2,SODIUM CHL,Not Control
0049,1710654,200455602.33,157022188.54,43433413.79,TRIAMCINOL,Not Control
0050,815056,189882751.69,182945704.61,6937047.08,MELOXICAM,Not Control
0051,1984058,182616217.42000002,144174355.49,38441861.93,CARVEDILOL,Not Control
0052,895688,36042534.43,35133259.53,909274.9,CITALOPRAM,Not Control
0053,1491639,167685750.05,136312710.66,31373039.39,BUSPIRONE,Not Control
0054,1535206,19114511.7,18365991.27,748520.43,BUSPIRONE,Not Control
0055,1276776,29910640.86,29496838.39,413802.47000000003,TRIAMCINOL,Not Control
0056,1500885,56708663.53,54572965.04,2135698.49,OXYCODONE,Not Control
0057,1157787,70557328.48,67473427.66,3083900.82,KLOR-CON M,Not Control
0058,2959252,17325907.39,17004187.86,321719.52999999997,KLOR-CON M,Not Control
0059,503695,11521811.75,11369210.03,152601.72,DIPHENHYDR,Not Control
0060,877983,367952757.46999997,307803103.35,60149654.12,FLUOCINOLO,Not Control
0061,253519,354919544.12,317893914.72,37025629.4,METOCLOPRO,Not Control
0062,352222,26857126.7,26466183.32,390943.38,METOCLOPRA,Not Control
0063,1892303,61953033.73,59907225.96,2045807.77,CLONAZEPAM,Not Control
0064,2343802,104597635.8,98932603.05,5665032.75,CLONAZEPAM,Not Control
0065,3790175,57769569.23,56736358.43,1033210.8,CLONAZEPAM,Not Control
0066,230879,8636641.89,8497827.86,138814.03,ALPRAZOLAM,CIV
0067,422688,2674380.07,2623340.2,51039.87,SIMVASTATI,Not Control
0068,901039,11494533.19,11278508.82,216024.37,DEXTROAMPH,Not Control
0069,46809,573820.39,552536.46,21283.93,INDAPAMIDE,Not Control
0070,1177705,105936797.12,104016587.1,1920210.02,ERYTHROMYC,Not Control
0071,913791,34643232.65,34204241.91,438990.74,POTASSIUM,Not Control
0072,583587,144083939.41,142727165.15,1356774.26,LOVASTATIN,Not Control
0073,970693,138517515.65,135516571.78,3000943.87,ZOLPIDEM T,Not Control
0074,1847083,158152735.99,152258943.1,5893792.89,ZOLPIDEM T,Not Control
0075,2546529,844806289.21,837831913.61,6974375.6,SPIRIVA,Not Control
0076,229199,66862659.36,63482898.03,3379761.33,DULOXETINE,Not Control
0077,1803756,26093785.46,25600844.81,492940.65,TORSEMIDE,Not Control
0078,270560,9310761.99,9225379.52,85382.47,FENOFIBRIC,Not Control
0079,822998,19349265.01,19125174.78,224090.23,MONTELUKAS,Not Control
0080,1486498,146203916.87,112086979.26,34116937.61,HYDROCORTI,Not Control
0081,1305703,171547030.38,165754638.33,5792392.05,NYSTATIN-T,Not Control
0082,670273,34760141.85,27542886.7,7217255.15,ACYCLOVIR,Not Control
0083,404361,7113840.36,7013982.76,99857.6,HYDROXYZIN,Not Control
0084,208873,10274585.72,10093711.75,180873.97,AMPHETAMIN,Not Control
0085,118426,13483521.95,12667890.64,815631.31,DEXTROSE 5,Not Control
0086,73951,14837396.77,14567947.27,269449.5,MIRTAZAPIN,Not Control
0087,733669,164315097.44,161906305.01,2408792.43,ATROVENT H,Not Control
0088,216097,41760935.69,35291565.54,6469370.15,CALCIUM AC,Not Control
