Product.Code,Labeler.Code,Substance.Name,Strength,DEA.Schedule,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed
0000,69158,AMITRIPTYLINE HYDROCHLORIDE,10,Not Control,410.35,295.39,114.96
0001,50474,LEVETIRACETAM,100,Not Control,339896741.81,307534406.44,32362335.37
0002,00168,TRIAMCINOLONE ACETONIDE,5,Not Control,110313550.92,102586288.6,7727262.32
0003,27241,RISPERIDONE,0.5,Not Control,58840975.35,56250327.64,2590647.71
0004,00168,TRIAMCINOLONE ACETONIDE,1,Not Control,43840543.58,41381767.61,2458775.97
0005,57237,FLUCONAZOLE,150,Not Control,326350900.44,215192777.28,111158123.16
0006,68001,GABAPENTIN,600,Not Control,869358048.38,863189385.33,6168663.05
0007,00054,CALCITRIOL,0.25,Not Control,657152064.75,652371963.44,4780101.31
0008,63824,GUAIFENESIN,600,Not Control,741059242.34,693584638.75,47474603.59
0009,59148,ARIPIPRAZOLE,15,Not Control,304240212.81,302419886.74,1820326.07
0010,50484,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,250,Not Control,410610580.9,405739790.21999997,4870790.68
0011,00093,PANTOPRAZOLE SODIUM,20,Not Control,452023510.8,424590711.6,27432799.2
0012,00093,PANTOPRAZOLE SODIUM,40,Not Control,62641347.69,61874504.72,766842.97
0013,65862,SERTRALINE HYDROCHLORIDE,100,Not Control,73528653.23,71836100.64,1692552.59
0014,13107,GLYCOPYRROLATE,1,Not Control,57206852.69,56640663.64,566189.05
0015,00168,HYDROCORTISONE,10,Not Control,36229113.79,35281455.38,947658.41
0016,10702,INDOMETHACIN,75,Not Control,48712734.67,46804454.52,1908280.15
0017,00338,DEXTROSE MONOHYDRATE,50,Not Control,27374708.4,25339366.9,2035341.5
0018,00054,PREDNISONE,20,Not Control,102551948.35,99534616.38,3017331.97
0019,00054,PREDNISONE,50,Not Control,287609869.03,283597090.4,4012778.63
0020,00168,HYDROCORTISONE,10,Not Control,73979524.44,71718625.13,2260899.31
0021,00054,LITHIUM CARBONATE,300,Not Control,209503398.22,203979615.33,5523782.890000001
0022,16729,PIOGLITAZONE HYDROCHLORIDE,45,Not Control,30563283.830000002,30197912.18,365371.65
0023,66993,LEVALBUTEROL HYDROCHLORIDE,1.25,Not Control,22244618.95,19363938.36,2880680.59
0024,61748,ETHOSUXIMIDE,250,Not Control,349953065.51,346924078.95,3028986.56
0025,57237,GLYBURIDE; METFORMIN HYDROCHLORIDE,5; 500,Not Control,46680890.22,42381361.42,4299528.8
0026,00603,ASPIRIN,81,Not Control,22957907.92,22744665.28,213242.63999999998
0027,33342,DONEPEZIL HYDROCHLORIDE,5,Not Control,12229779.36,11472320.63,757458.73
0028,49884,HYDRALAZINE HYDROCHLORIDE,50,Not Control,26553428.19,17338977.77,9214450.42
0029,65862,GLYBURIDE,2.5,Not Control,12392797.2,12327771.11,65026.09
0030,16729,METHYLDOPA,250,Not Control,570188182.55,477727272.74,92460909.81
0031,57237,AMOXICILLIN,500,Not Control,41954723.76,37729516.13,4225207.63
0032,00378,METOPROLOL TARTRATE,50,Not Control,46627291.55,38779373.51,7847918.04
0033,68382,DIVALPROEX SODIUM,500,Not Control,49996926.24,48783855.19,1213071.05
0034,16729,LETROZOLE,2.5,Not Control,6266913.53,6186120.73,80792.8
0035,16729,ANASTROZOLE,1,Not Control,20978948.14,20025573.68,953374.46
