State,Opiate,Number.of.Prescriptions
AK,,338456
AK,YES,39516
AL,,2112912
AL,YES,178171
AR,,1810898
AR,YES,188387
AZ,,4560643
AZ,YES,536512
CA,,20031394
CA,YES,2046707
CO,,2227161
CO,YES,362499
CT,,2345028
CT,YES,158032
DC,,656683
DC,YES,44645
DE,,709048
DE,YES,71552
FL,,10110704
FL,YES,833683
GA,,5147552
GA,YES,401753
HI,,684678
HI,YES,87468
IA,,1898059
IA,YES,177893
ID,,751869
ID,YES,107775
IL,,6181641
IL,YES,648701
IN,,3415938
IN,YES,388469
KS,,1890164
KS,YES,149684
KY,,6438514
KY,YES,539867
LA,,3321798
LA,YES,343732
MA,,4053933
MA,YES,284413
MD,,3885563
MD,YES,385968
ME,,1002441
ME,YES,70325
MI,,8286131
MI,YES,1141235
MN,,4140087
MN,YES,349021
MO,,4161477
MO,YES,361608
MS,,1643339
MS,YES,220855
MT,,316859
MT,YES,36103
NC,,6076116
NC,YES,571876
ND,,182872
ND,YES,18999
NE,,760719
NE,YES,70691
NH,,515665
NH,YES,42769
NJ,,4517233
NJ,YES,201863
NM,,1443373
NM,YES,177530
NV,,1092432
NV,YES,189483
NY,,19674317
NY,YES,583430
OH,,8306274
OH,YES,697648
OK,,1853969
OK,YES,277644
OR,,2360797
OR,YES,302188
PA,,7921723
PA,YES,662294
RI,,740711
RI,YES,39687
SC,,2509996
SC,YES,146338
SD,,183454
SD,YES,23844
TN,,4623969
TN,YES,533495
TX,,9915360
TX,YES,861848
UT,,877246
UT,YES,102553
VA,,2992429
VA,YES,227280
VT,,347033
VT,YES,30622
WA,,3354453
WA,YES,333850
WI,,3245898
WI,YES,347717
WV,,2734828
WV,YES,295441
WY,,134100
WY,YES,13098
XX,,175234368
XX,YES,15112454
