State,Opiate,Number.of.Prescriptions
AK,,232874
AK,YES,11014
AL,,2007426
AL,YES,49723
AR,,1170344
AR,YES,20349
CA,,7983835
CA,YES,119220
CO,,731037
CO,YES,21068
CT,,1187735
CT,YES,24429
DC,,167736
DC,YES,2699
DE,,437126
DE,YES,17695
FL,,3591842
FL,YES,72915
GA,,2030768
GA,YES,33696
HI,,165959
HI,YES,6211
IA,,940404
IA,YES,7346
ID,,385948
ID,YES,18015
IL,,5118675
IL,YES,93008
IN,,1384655
IN,YES,44682
KS,,528405
KS,YES,14873
KY,,2726939
KY,YES,52465
LA,,2362384
LA,YES,48216
MA,,2486336
MA,YES,26267
MD,,669630
MD,YES,7582
ME,,836750
ME,YES,25528
MI,,1830596
MI,YES,16659
MN,,802528
MN,YES,15999
MO,,2622450
MO,YES,79716
MS,,1093138
MS,YES,18787
MT,,203585
MT,YES,13633
NC,,3714979
NC,YES,148684
ND,,114372
ND,YES,4242
NE,,656629
NE,YES,9960
NH,,311593
NH,YES,9255
NJ,,1463025
NJ,YES,41156
NM,,30946
NM,YES,560
NV,,300014
NV,YES,13872
NY,,10861976
NY,YES,147867
OH,,2026293
OH,YES,28515
OK,,1277883
OK,YES,42757
OR,,514747
OR,YES,11019
PA,,2094784
PA,YES,44850
RI,,212173
RI,YES,3092
SC,,1330649
SC,YES,46618
SD,,182256
SD,YES,3629
TN,,2992606
TN,YES,79920
TX,,5450553
TX,YES,169664
UT,,508000
UT,YES,21322
VA,,1095489
VA,YES,28731
VT,,147917
VT,YES,5314
WA,,1917694
WA,YES,56653
WI,,2748087
WI,YES,59926
WV,,1473882
WV,YES,66557
WY,,48516
WY,YES,1448
XX,,84284331
XX,YES,1940280
