Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
00185,0144,AMIODARONE HYDROCHLORIDE,200,,,1282068,30874
00378,1132,NADOLOL,80,,,551029,13463
63801,0107,SALICYLIC ACID,30,,,8748,250
00378,0577,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,5; 50,,,1287802,37890
24208,0730,PROPARACAINE HYDROCHLORIDE,5,,,4264,286
50844,0175,ACETAMINOPHEN,500,,,2747300,28520
61314,0238,CARTEOLOL HYDROCHLORIDE,10,,,17645,2237
16837,0872,FAMOTIDINE,10,,,5832723.15,86395
00378,0327,HALOPERIDOL,5,,,22738812.608,415723
63323,0086,"POTASSIUM PHOSPHATE, MONOBASIC AND POTASSIUM PHOSPHATE, DIBASIC",224; 236,,,11769,168
52544,0552,NORETHINDRONE AND ETHINYL ESTRADIOL,NA,,,10399812.396,268176
00054,2531,LITHIUM CARBONATE,600,,,688337,14499
00168,0062,ZINC OXIDE,200,,,1569343.04,23850
53489,0536,ATENOLOL,25,,,758275.8,20376
00536,3755,DOCUSATE CALCIUM,240,,,967178,20019
00378,3050,CLOMIPRAMINE HYDROCHLORIDE,50,,,1023629,12867
00904,2009,ASPIRIN,325,,,503621,8765
00904,5315,SODIUM CHLORIDE,50,,,123,31
00009,3475,METHYLPREDNISOLONE ACETATE,80,,,10422,7733
00009,3475,METHYLPREDNISOLONE ACETATE,80,,,10422,7733
64764,0451,PIOGLITAZONE,45,,,12221339.278,352506
00555,0252,DIPYRIDAMOLE,25,,,4833658,57200
00378,0211,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,5; 14,CIV,,2673580.133,44196
00056,0168,WARFARIN SODIUM,4,,,10881420.06,413619
00054,4596,MEPERIDINE HYDROCHLORIDE,100,CII,,226624,2960
54092,0189,MESALAMINE,250,,,13096698.025,42404
49884,0029,HYDRALAZINE HYDROCHLORIDE,10,,,1377740,12160
00832,0038,OXYBUTYNIN CHLORIDE,5,,,8333504.11,115330
00143,1767,ISOSORBIDE DINITRATE,5,,,254914,2122
00781,2201,TEMAZEPAM,15,CIV,,3193965,118028
00781,1407,HYDROXYCHLOROQUINE SULFATE,200,,,2093543,34177
00781,1407,HYDROXYCHLOROQUINE SULFATE,200,,,2093543,34177
00002,4165,RALOXIFENE HYDROCHLORIDE,60,,,28406000.28,873560
17478,0620,WATER,929,,,1242,249
00185,0115,TICLOPIDINE HYDROCHLORIDE,250,,,58791,1010
00378,0160,METHYCLOTHIAZIDE,5,,,587417,17104
51672,4012,CLOMIPRAMINE HYDROCHLORIDE,50,,,133487,1611
00186,0008,CANDESARTAN CILEXETIL,8,,,584452,16792
50458,0300,RISPERIDONE,1,,,156034701.698,3331758
61314,0227,TIMOLOL MALEATE,5,,,3064633.426,308391
49938,0101,DAPSONE,100,,,3539708.32,113908
49938,0101,DAPSONE,100,,,3539708.32,113908
59762,3728,CLINDAMYCIN PHOSPHATE,10,,,4154938.66,72069
00378,0148,DOXYCYCLINE,100,,,417099,18741
00168,0040,BETAMETHASONE VALERATE,1,,,1405846,31550
00056,0173,WARFARIN SODIUM,7.5,,,3713965.672,153578
00904,5309,IBUPROFEN,100,,,2339817,12563
52544,0622,HYDROCHLOROTHIAZIDE,12.5,,,5150696,142885
63323,0469,HALOPERIDOL DECANOATE,50,,,44031.4,16791
00781,1884,RANITIDINE HYDROCHLORIDE,300,,,2007643.2,52984
59762,3719,ALPRAZOLAM,0.25,CIV,,29463320,533015
00299,3836,METRONIDAZOLE,7.5,,,1936675,42498
00781,1487,AMITRIPTYLINE HYDROCHLORIDE,25,,,22829939,482855
00378,1650,NITROFURANTOIN (MACROCRYSTALS),50,,,1795201,46759
60758,0060,LEVOBUNOLOL HYDROCHLORIDE,5,,,22575,2020
00068,0510,RIFAMPIN,150,,,67038.112,1496
60432,0093,AMANTADINE HYDROCHLORIDE,50,,,333340,2134
00615,2596,HALOPERIDOL,2,,,312375,5762
00575,6200,DIAZOXIDE,50,,,298676,2792
00378,3125,DOXEPIN HYDROCHLORIDE,25,,,9367228.704,178501
00093,0711,FLURBIPROFEN,100,,,531572,9749
00069,5420,HYDROXYZINE PAMOATE,50,,,242938,3808
00781,1966,FUROSEMIDE,40,,,52821582.472,1166526
50111,0326,BETHANECHOL CHLORIDE,50,,,158402.4,2530
51672,4013,CLOMIPRAMINE HYDROCHLORIDE,75,,,29742,455
00187,3204,FLUOROURACIL,2,,,765536.38,29112
00054,3177,DEXAMETHASONE,0.5,,,214828,2359
62175,0106,ISOSORBIDE MONONITRATE,10,,,196026,3165
00603,1075,CODEINE PHOSPHATE AND GUAIFENESIN,10; 100,CV,YES,16318131.832,86759
51672,4023,ACETAZOLAMIDE,250,,,3039701.492,46501
49884,0056,IMIPRAMINE HYDROCHLORIDE,50,,,5982708,94016
00378,1101,PRAZOSIN HYDROCHLORIDE,1,,,2848632,42180
00615,3520,CYCLOBENZAPRINE HYDROCHLORIDE,10,,,188005.5,3561
24385,0463,CHLORPHENIRAMINE MALEATE,4,,,199640,2857
00009,0395,CLINDAMYCIN HYDROCHLORIDE,300,,,1819064,56972
00378,0147,INDOMETHACIN,50,,,4361426.18,78330
00615,2597,HALOPERIDOL,5,,,278210,5183
