Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
00085,1341,MOMETASONE FUROATE,220,,,70089.634,280741
00169,5174,ESTRADIOL AND NORETHINDRONE ACETATE,1; .5,,,61206,1828
00093,8119,FAMCICLOVIR,500,,,743485.002,29789
00603,3887,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,10; 325,CII,YES,69246896.164,739777
00093,0150,ACETAMINOPHEN AND CODEINE PHOSPHATE,300; 30,CIII,YES,34615153.274,1175181
00378,3632,CARVEDILOL,6.25,,,9140527.722,145140
00143,9580,SERTRALINE HYDROCHLORIDE,100,,,1294752.42,32791
16729,0003,GLIMEPIRIDE,4,,,4188385.002,87426
59148,0013,ARIPIPRAZOLE,1,,,9247344.5,54291
58468,0021,RENAGEL,800,,,31027548.014,137560
00555,0635,DANAZOL,200,,,88198,1239
00472,0337,HYDROCORTISONE,25,,,2738094.024,65997
54458,0944,SERTRALINE HYDROCHLORIDE,50,,,6242073.004,187308
00054,0011,FLECAINIDE ACETATE,100,,,366408.616,6328
68462,0161,METFORMIN HYDROCHLORIDE,1000,,,4750922,75387
00378,2077,LISINOPRIL,30,,,748109.002,21413
00832,1024,BACLOFEN,10,,,33344013.796,389850
00591,0371,LOXAPINE,25,,,1039981,17479
00054,0098,OXCARBAZEPINE,300,,,11366509.002,138951
00113,0419,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN",5; 100,,,28362,218
00113,0437,"ACETAMINOPHEN, DIPHENHYDRAMINE HCL",500; 25,,,9815,292
00143,1267,LISINOPRIL,10,,,575818.61,18179
49884,0753,FLUTAMIDE,125,,,51625,418
60505,0191,METFORMIN HYDROCHLORIDE,850,,,439234.36,6558
00591,0718,BUSPIRONE HYDROCHLORIDE,15,,,5464820.5,78500
00603,2407,BACLOFEN,20,,,7010737.648,72774
00186,0916,BUDESONIDE,180,,,105766.82,103006
31722,0225,GEMFIBROZIL,600,,,10277655,169851
59011,0420,OXYCODONE HYDROCHLORIDE,20,CII,YES,3318067.202,51173
