State,Opiate,Number.of.Prescriptions
AK,,46957
AK,YES,2481
AL,,654146
AL,YES,9196
AR,,363589
AR,YES,4727
CA,,3323705
CA,YES,36228
CO,,129818
CO,YES,449
CT,,519653
CT,YES,21617
DC,,105283
DC,YES,3499
DE,,81880
DE,YES,3848
FL,,1783118
FL,YES,59331
GA,,705065
HI,,97793
HI,YES,1171
IA,,294678
IA,YES,4459
ID,,113223
ID,YES,1156
IL,,1610297
IL,YES,13696
IN,,201398
IN,YES,2484
KS,,235106
KS,YES,374
KY,,750390
KY,YES,3520
LA,,855954
LA,YES,19659
MA,,1396116
MA,YES,82702
MD,,436595
MD,YES,14476
ME,,251977
ME,YES,4982
MI,,1015643
MI,YES,26608
MN,,352426
MN,YES,3755
MO,,731156
MO,YES,2250
MS,,507635
MS,YES,5375
MT,,99516
MT,YES,3186
NC,,684812
NC,YES,2950
ND,,72487
ND,YES,924
NE,,252721
NE,YES,4795
NH,,112763
NH,YES,6557
NJ,,841380
NJ,YES,25469
NM,,152485
NM,YES,12569
NV,,31935
NV,YES,1700
NY,,2870301
NY,YES,28516
OH,,972128
OH,YES,8712
OK,,258444
OK,YES,3278
OR,,246918
OR,YES,4457
PA,,1716186
PA,YES,35060
RI,,166124
RI,YES,2982
SC,,386372
SC,YES,3722
SD,,74946
SD,YES,1302
TX,,1398392
TX,YES,10944
UT,,103111
UT,YES,833
VA,,685039
VA,YES,10602
VT,,110291
VT,YES,7404
WA,,570556
WA,YES,23561
WI,,709131
WI,YES,17904
WV,,405933
WV,YES,7549
WY,,30318
WY,YES,1077
XX,,28022815
XX,YES,58383
