State,Opiate,Number.of.Prescriptions
AK,,304102
AK,YES,33750
AL,,2512280
AL,YES,205698
AR,,1636321
AR,YES,156728
AZ,,5230895
AZ,YES,529273
CA,,26251825
CA,YES,2536236
CO,,2392729
CO,YES,379422
CT,,3066480
CT,YES,185511
DC,,726245
DC,YES,54129
DE,,741429
DE,YES,76429
FL,,9679102
FL,YES,784520
GA,,5633485
GA,YES,458281
HI,,809114
HI,YES,85897
IA,,2245231
IA,YES,169999
ID,,717627
ID,YES,101903
IL,,7766746
IL,YES,737436
IN,,4282241
IN,YES,445023
KS,,1114672
KS,YES,112815
KY,,6793957
KY,YES,636849
LA,,4264905
LA,YES,431390
MA,,4455924
MA,YES,270365
MD,,4400291
MD,YES,354110
ME,,770675
ME,YES,44944
MI,,8517909
MI,YES,1272960
MN,,3711949
MN,YES,317602
MO,,4031101
MO,YES,370320
MS,,1827276
MS,YES,232928
MT,,370987
MT,YES,36430
NC,,5617195
NC,YES,550631
ND,,239456
ND,YES,22334
NE,,736756
NE,YES,63989
NH,,581525
NH,YES,49006
NJ,,5981738
NJ,YES,305829
NM,,1688554
NM,YES,197086
NV,,1533475
NV,YES,224757
NY,,21286268
NY,YES,684353
OH,,12633185
OH,YES,858227
OK,,2039803
OK,YES,249843
OR,,3027901
OR,YES,301265
PA,,10038983
PA,YES,777088
RI,,874475
RI,YES,45560
SC,,1762042
SC,YES,132437
SD,,261512
SD,YES,24075
TN,,3921440
TN,YES,583227
TX,,10183305
TX,YES,752829
UT,,818677
UT,YES,94621
VA,,3258482
VA,YES,237457
VT,,477470
VT,YES,31155
WA,,4404059
WA,YES,347590
WI,,3799233
WI,YES,327984
WV,,2970332
WV,YES,302925
WY,,144862
WY,YES,4936
XX,,210170129
XX,YES,16289337
