Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
16714,0041,ALLOPURINOL,100,,,1917638,39659
00168,0015,HYDROCORTISONE,10,,,20450425.225,530137
50474,0597,LEVETIRACETAM,1000,,,5776574,75879
00228,2539,CARBIDOPA AND LEVODOPA,25; 100,,,5638776.94,59713
00573,0216,BENZOCAINE,75,,,143.89,27
29300,0129,HYDROCHLOROTHIAZIDE,50,,,3644,111
53489,0118,DOXYCYCLINE HYCLATE,50,,,247579,6073
00126,0287,SODIUM FLUORIDE,11,,,726360.68,20785
00126,0287,SODIUM FLUORIDE,11,,,726360.68,20785
00024,1535,HEXACHLOROPHENE,30,,,2495402.23,8534
00065,0418,DEXTRAN 70 AND HYPROMELLOSE 2910,1; 3,,,567383,23446
00378,0214,HALOPERIDOL,2,,,4717165.562,84203
00378,6203,VERAPAMIL HYDROCHLORIDE,300,,,135354,4146
00378,2302,PRAZOSIN HYDROCHLORIDE,2,,,890940,16576
00781,3451,CEFAZOLIN,1,,,266390.314,11862
00185,0774,BISOPROLOL FUMARATE,10,,,295968,7540
00536,3231,ACETAMINOPHEN,500,,,20469885,235729
59762,5023,GABAPENTIN,600,,,19588702,210832
00093,0263,FLUOCINONIDE,0.5,,,151671.596,2832
00378,6440,VERAPAMIL HYDROCHLORIDE,240,,,1051858,28241
00093,4234,BUMETANIDE,2,,,2032721.342,39282
24385,0161,LORATADINE,10,,,19060,846
00603,2434,BENZTROPINE MESYLATE,1,,,5975163,114142
24385,0060,BACITRACIN ZINC,500,,,306524.132,9400
55111,0343,CITALOPRAM HYDROBROMIDE,20,,,10225165,305112
00832,0302,CHLORPROMAZINE HYDROCHLORIDE,50,,,2596005,36985
59762,3721,ALPRAZOLAM,1,CIV,,92561707.592,1212069
00310,0282,QUETIAPINE FUMARATE,200,,,4114350,116632
64764,0151,PIOGLITAZONE,15,,,16743889.06,471603
17478,0711,LIDOCAINE HYDROCHLORIDE,20,,,1504653.18,43500
00310,0321,MEROPENEM,1,,,222951.986,14672
00002,3233,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,6; 50,,,232373,7563
00781,1973,DESIPRAMINE HYDROCHLORIDE,50,,,713346,11714
68382,0068,SIMVASTATIN,40,,,5352008,168074
00781,2104,TACROLIMUS,5,,,110253.003,1973
49884,0404,METOPROLOL SUCCINATE,25,,,9149298.55,257335
00781,6524,SUMATRIPTAN,5,,,24158,3848
10370,0102,BUPROPION HYDROCHLORIDE,300,,,2913984,96685
59762,4910,SERTRALINE HYDROCHLORIDE,100,,,58879646.324,1515779
54092,0385,"DEXTROAMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE SULFATE AND AMPHETAMINE ASPARTATE",3.75; 3.75; 3.75; 3.75,CII,,12019857,377128
00025,1525,CELECOXIB,200,,,26528404.48,660193
00008,0833,VENLAFAXINE HYDROCHLORIDE,75,,,38298392.072,869790
00527,1353,HYDROMORPHONE HYDROCHLORIDE,2,CII,YES,304163,4613
00597,0032,CLONIDINE,0.2,,,298252.622,66402
53489,0143,SPIRONOLACTONE,25,,,2822058.224,57568
37205,0270,DIPHENHYDRAMINE HYDROCHLORIDE,25,,,39648,742
55111,0310,NIZATIDINE,150,,,421063,8051
00781,1489,AMITRIPTYLINE HYDROCHLORIDE,75,,,1010726,26589
68382,0009,LAMOTRIGINE,150,,,862537,16086
00781,2228,THIOTHIXENE,5,,,698790,11678
00472,1030,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,5; 1.5,CII,YES,16235869.992,95389
13533,0631,RHO(D) IMMUNE GLOBULIN (HUMAN),1500,,,23246.344,17393
00078,0510,CARBAMAZEPINE,100,,,4107703,43403
00555,0071,ISONIAZID,300,,,2993576.5130000003,87605
63739,0089,DOCUSATE SODIUM,100,,,831208.06,16690
13668,0271,CARBAMAZEPINE,100,,,460286,4074
00378,0181,ALLOPURINOL,300,,,3549343.064,102454
00527,1371,LEVOTHYROXINE SODIUM,0.05,,,16944,528
00054,3527,LITHIUM,8,,,2039591,4663
00093,7305,MIRTAZAPINE,45,,,105309,3463
00168,0056,BETAMETHASONE DIPROPIONATE,0.5,,,984700.562,20823
00126,0192,STANNOUS FLUORIDE,4,,,854877.1,6077
50458,0330,RISPERIDONE,3,,,5560976.2,116548
57664,0241,CLOZAPINE,50,,,27607,947
00591,0461,GLIPIZIDE,10,,,5835643,92058
51079,0286,DIAZEPAM,10,CIV,,35629.02,2199
68462,0158,ONDANSETRON,8,,,771355,50651
00093,7254,GLIMEPIRIDE,1,,,764372,19365
00781,7054,ERYTHROMYCIN AND BENZOYL PEROXIDE,NA,,,5239386.875,118888
24385,0602,GUAIFENESIN,400,,,9581,194
00168,0139,FLUOCINONIDE,0.5,,,1376887,24119
00409,6625,SODIUM BICARBONATE,84,,,20361692.443,77614
00409,6625,SODIUM BICARBONATE,84,,,20361692.443,77614
00143,1254,HYDROCORTISONE,20,,,1012329.1120000001,29543
