State,Opiate,Number.of.Prescriptions
AK,,285122
AK,YES,4730
AL,,2198665
AL,YES,54868
AR,,1206394
AR,YES,11368
CA,,11460413
CA,YES,66203
CO,,885365
CO,YES,10222
CT,,1252778
CT,YES,14735
DC,,172337
DC,YES,572
DE,,305187
DE,YES,6395
FL,,6690496
FL,YES,113560
GA,,3567205
GA,YES,67688
HI,,286535
HI,YES,483
IA,,1235927
IA,YES,14701
ID,,420512
ID,YES,11558
IL,,5971744
IL,YES,38183
IN,,2075678
IN,YES,51590
KS,,827849
KS,YES,16932
KY,,2763746
KY,YES,24502
LA,,2599697
LA,YES,44693
MA,,3182493
MA,YES,12342
MD,,1240476
MD,YES,20178
ME,,989995
ME,YES,18623
MI,,2586382
MI,YES,19892
MN,,914721
MN,YES,12740
MO,,3016402
MO,YES,40207
MS,,1632810
MS,YES,23297
MT,,251395
MT,YES,5248
NC,,3829210
NC,YES,59781
ND,,212351
ND,YES,1253
NE,,751533
NE,YES,10348
NH,,375777
NH,YES,2626
NJ,,2337404
NJ,YES,37939
NM,,379302
NM,YES,8733
NV,,339901
NV,YES,9598
NY,,11911853
NY,YES,104763
OH,,5220094
OH,YES,50853
OK,,932048
OK,YES,25150
OR,,795608
OR,YES,8570
PA,,2585793
PA,YES,35959
RI,,433200
RI,YES,5315
SC,,2068470
SC,YES,44741
SD,,251460
SD,YES,2123
TN,,38882591
TN,YES,117847
TX,,5458300
TX,YES,99084
UT,,478671
UT,YES,18338
VA,,1656383
VA,YES,27603
VT,,92232
VT,YES,3828
WA,,3563149
WA,YES,50856
WI,,2592087
WI,YES,25145
WV,,1381898
WV,YES,31072
WY,,114881
WY,YES,1313
XX,,142726021
XX,YES,1215915
