State,Opiate,Number.of.Prescriptions
AK,,7967
AL,,223771
AL,YES,70
AR,,160549
AR,YES,441
CA,,937682
CA,YES,452
CO,,84064
CT,,123945
DC,,39862
DE,,14588
FL,,552094
FL,YES,481
GA,,115878
GA,YES,445
HI,,44659
IA,,142827
IA,YES,85
ID,,18184
IL,,376314
IL,YES,1945
IN,,275972
KS,,51880
KY,,325188
KY,YES,190
LA,,325835
LA,YES,398
MA,,272209
MA,YES,324
MD,,120755
ME,,74647
MI,,367119
MI,YES,213
MN,,213663
MN,YES,30
MO,,229071
MO,YES,216
MS,,127357
MS,YES,122
MT,,23120
NC,,168992
ND,,25736
NE,,10821
NH,,24834
NJ,,138224
NM,,27322
NV,,14737
NY,,747267
NY,YES,416
OH,,473506
OH,YES,1050
OK,,53393
OK,YES,62
OR,,78269
PA,,583176
PA,YES,159
RI,,44249
SC,,142819
SD,,17456
TN,,308150
TN,YES,223
TX,,305962
TX,YES,453
UT,,27036
UT,YES,57
VA,,238432
VA,YES,58
VT,,26847
WA,,176728
WI,,224021
WI,YES,151
WV,,118509
WV,YES,94
WY,,8791
WY,YES,38
XX,,5396848
XX,YES,6755
