Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
55513,0148,EPOETIN ALFA,4000,,,365421.916,32523
00025,2732,DISOPYRAMIDE PHOSPHATE,100,,,1420732.12,16421
00143,1785,"BUTALBITAL, ASPIRIN AND CAFFEINE",50; 325; 40,CIII,,1996857.841,46915
00781,1973,DESIPRAMINE HYDROCHLORIDE,50,,,3609898.246,55834
53489,0120,DOXYCYCLINE HYCLATE,100,,,2407511.802,124748
00071,0527,QUINAPRIL HYDROCHLORIDE,5,,,5206131.964,145479
00168,0006,TRIAMCINOLONE ACETONIDE,1,,,7799428.328,100394
00054,4120,CALCIUM CARBONATE,1250,,,7004133.52,60265
50111,0327,HYDRALAZINE HYDROCHLORIDE,25,,,7359311.738,76749
00517,7504,ACETYLCYSTEINE,100,,,39830,748
00085,0575,BETAMETHASONE DIPROPIONATE,0.5,,,672485.717,15551
49884,0574,AMLODIPINE AND VALSARTAN,5; 160,,,2346,76
00603,5167,PHENOBARBITAL,64.8,CIV,,10161697.222,164132
00085,3330,NITROGLYCERIN,120,,,1954147.978,64895
00245,0003,POTASSIUM IODIDE,1,,,542139.55,12414
49348,0090,PSYLLIUM HUSK,3.4,,,457410.283,1434
00904,1056,BENZTROPINE MESYLATE,1,,,4247660.346,82861
59676,0304,ERYTHROPOIETIN,4000,,,468966.87,49033
00472,0987,CLINDAMYCIN PHOSPHATE,10,,,208672.28,3669
00378,0147,INDOMETHACIN,50,,,3625920.158,65747
00378,4430,FLURAZEPAM HYDROCHLORIDE,30,CIV,,6229255.89,204630
45802,0004,HYDROCORTISONE,25,,,675127.036,19063
00378,0183,PROPRANOLOL HYDROCHLORIDE,20,,,3651113.764,49005
00378,2685,AMITRIPTYLINE HYDROCHLORIDE,100,,,5114482.038,125840
00185,0128,BUMETANIDE,0.5,,,354073.252,10381
00904,2019,ASPIRIN,325,,,253866,6130
49348,0169,CALCIUM CARBONATE,500,,,1011160,7113
00264,7510,DEXTROSE,5,,,32941375.569,15343
00904,2035,DIPHENHYDRAMINE HCL,25,,,488478,8419
00087,6060,METFORMIN HYDROCHLORIDE,500,,,280363860.276,3524730
00264,7520,DEXTROSE,10,,,407609.5,151
00091,3707,MOEXIPRIL HYDROCHLORIDE,7.5,,,3200761.91,90022
00013,5301,RIFABUTIN,150,,,698138.336,15203
51079,0133,AMITRIPTYLINE HYDROCHLORIDE,50,,,266804,8161
45802,0063,TRIAMCINOLONE ACETONIDE,0.25,,,536305.38,13528
00228,2530,NIFEDIPINE,20,,,1472746.144,17430
00004,0068,CLONAZEPAM,0.5,CIV,,12626836.056,184551
00074,6215,DIVALPROEX SODIUM,500,,,216740153.208,2615537
00039,0066,FUROSEMIDE,80,,,1456515.564,24939
53014,0532,METHYLPHENIDATE HYDROCHLORIDE,20,CII,,2987641.035,37852
