State,Opiate,Number.of.Prescriptions
AK,,152032
AK,YES,1116
AL,,1293609
AL,YES,6054
AR,,669477
AR,YES,2088
CA,,6197754
CA,YES,29454
CO,,370262
CO,YES,2511
CT,,921049
CT,YES,3832
DC,,141054
DC,YES,1359
DE,,134142
DE,YES,632
FL,,3674171
FL,YES,11134
GA,,1666378
GA,YES,8218
HI,,190643
HI,YES,2858
IA,,412409
IA,YES,1065
ID,,243817
ID,YES,1791
IL,,2955757
IL,YES,12361
IN,,1038039
IN,YES,2861
KS,,355765
KS,YES,633
KY,,1399419
KY,YES,475
LA,,1671973
LA,YES,6164
MA,,2723464
MA,YES,10042
MD,,421764
MD,YES,2793
ME,,536543
ME,YES,1993
MI,,1030419
MI,YES,13675
MN,,420760
MN,YES,3256
MO,,1548846
MO,YES,6510
MS,,736870
MS,YES,3941
MT,,162701
MT,YES,1505
NC,,2182091
NC,YES,6870
ND,,137950
ND,YES,556
NE,,499906
NE,YES,1989
NH,,239598
NH,YES,1273
NJ,,1530239
NJ,YES,6485
NM,,180561
NM,YES,1590
NV,,162922
NV,YES,1472
NY,,6656191
NY,YES,27831
OH,,2538853
OH,YES,13348
OK,,516521
OK,YES,1960
OR,,601249
OR,YES,3361
PA,,1526910
PA,YES,6017
RI,,308608
RI,YES,1421
SC,,897288
SC,YES,3939
SD,,138388
SD,YES,212
TN,,1708107
TN,YES,3873
TX,,3081760
TX,YES,24418
UT,,195365
UT,YES,944
VA,,1200617
VA,YES,4538
VT,,29465
VT,YES,128
WA,,1346453
WA,YES,8887
WI,,1390462
WI,YES,10809
WV,,853473
WV,YES,3477
WY,,67979
WY,YES,299
XX,,58248263
XX,YES,272770
