Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
00378,5200,TOLMETIN SODIUM,400,,,589568,7834
17714,0021,DIPHENHYDRAMINE HYDROCHLORIDE,50,,,141273,3747
00338,0054,SODIUM CHLORIDE,3,,,95187.5,67
00173,0393,RANITIDINE HYDROCHLORIDE,300,,,20577134.866,564531
00228,2031,ALPRAZOLAM,1,CIV,,3334839.002,47191
00378,0477,DIAZEPAM,10,CIV,,7920419.018,127998
00904,0357,HYDROXYZINE HYDROCHLORIDE,10,,,2018855.44,35651
50111,0471,PROPRANOLOL HYDROCHLORIDE,80,,,235500,2969
00378,0052,PINDOLOL,5,,,1586225,28004
00536,4391,PSEUDOEPHEDRINE HCL,30,,,3859658,75023
00781,1123,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,37.5; 25,,,15043589.542,467142
00054,8739,PREDNISONE,1,,,307117,4583
49884,0009,ISOSORBIDE DINITRATE,30,,,3503760,34850
00378,0372,CIMETIDINE,400,,,32431035.226,638960
00536,1881,PSYLLIUM,3.4,,,2079496,4995
49348,0006,MINERAL OIL,118,,,147578,1334
00904,1152,SULFASALAZINE,500,,,399417,3436
00009,0012,HYDROCORTISONE,5,,,1913396,19214
00186,1092,METOPROLOL SUCCINATE,100,,,4224957.002,108925
00378,6410,DOXEPIN HYDROCHLORIDE,100,,,5385668.202,118334
00713,0132,PROMETHAZINE HYDROCHLORIDE,50,,,226261,21826
00781,2227,THIOTHIXENE,2,,,2495129,41636
00378,0160,METHYCLOTHIAZIDE,5,,,754630.2,20767
00264,7800,SODIUM CHLORIDE,0.9,,,43369861.8,18618
00264,7800,SODIUM CHLORIDE,0.9,,,43369861.8,18618
00085,0854,MOMETASONE FUROATE,1,,,4710620,93490
00054,8650,OXYCODONE AND ACETAMINOPHEN,5; 325,CII,YES,3364255.82,50135
51079,0789,ALPRAZOLAM,0.5,CIV,,116593,2518
00378,6004,FLUPHENAZINE HYDROCHLORIDE,1,,,3023808.22,42815
00338,0049,SODIUM CHLORIDE,9,,,149811809.35,108027
00009,3329,CLINDAMYCIN PHOSPHATE,10,,,3607010.202,57270
00378,2100,LOPERAMIDE HYDROCHLORIDE,2,,,5286087.002,113844
49348,0198,"MINERAL OIL, PETROLATUM, PHENYLEPHRINE HCL",14; 74.9; .25,,,738904,5073
00049,2770,DOXAZOSIN MESYLATE,4,,,8421879.2,203099
00378,0141,SPIRONOLACTONE AND HYDROCHLOROTHIAZIDE,25; 25,,,2585413,53224
00168,0033,BETAMETHASONE VALERATE,1,,,986631,14043
00781,1972,DESIPRAMINE HYDROCHLORIDE,25,,,3971428.002,56391
00378,0014,METHOTREXATE,2.5,,,1584636,66554
00003,0293,TRIAMCINOLONE ACETONIDE,40,,,203737.1,11186
45802,0046,GENTAMICIN SULFATE,1,,,190548,6382
00228,2027,ALPRAZOLAM,0.25,CIV,,5030028.002,97120
00065,0656,CIPROFLOXACIN HYDROCHLORIDE,3,,,965189.625,191579
51079,0191,INDOMETHACIN,50,,,38197,775
51079,0190,INDOMETHACIN,25,,,223856,3141
00168,0071,GENTAMICIN SULFATE,1,,,542748,28793
00904,1988,ACETAMINOPHEN,500,,,5021262,64307
24208,0735,CYCLOPENTOLATE HYDROCHLORIDE,10,,,31779,2839
00228,2127,CLONIDINE HYDROCHLORIDE,0.1,,,13655549.762,217518
00536,0025,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DIMETHICONE",200; 200; 20,,,103133302.242,148871
00904,2154,ISOSORBIDE DINITRATE,20,,,3115048.06,30757
00093,0149,NAPROXEN,500,,,9266016.002,183904
50111,0327,HYDRALAZINE HYDROCHLORIDE,25,,,1595573,17272
00904,3991,TRAZODONE HYDROCHLORIDE,100,,,2282286.8,45373
00378,0551,TOLAZAMIDE,500,,,161876,2404
00781,1635,ISOSORBIDE DINITRATE,5,,,8862186,90374
00603,1785,ASCORBIC ACID AND CHOLECALCIFEROL AND SODIUM FLUORIDE AND VITAMIN A PALMITATE,1500; 35; 400; .25,,,2799726,56111
00904,2614,ALLOPURINOL,300,,,1321617,32668
00093,0292,CARBIDOPA AND LEVODOPA,10; 100,,,10419756.6,117543
17478,0224,PILOCARPINE HYDROCHLORIDE,20,,,65250,4245
00071,0525,METHSUXIMIDE,300,,,1106685,13323
00071,0532,QUINAPRIL HYDROCHLORIDE,20,,,11478388.64,283846
24385,0407,CALAMINE AND ZINC OXIDE AND PHENOL,160; 10,,,25280,126
00009,0352,GLYBURIDE,3,,,23271083.348,414693
50111,0459,THEOPHYLLINE,300,,,18675226.004,271778
00781,1490,AMITRIPTYLINE HYDROCHLORIDE,100,,,762683,19436
00904,0788,MAGNESIUM HYDROXIDE,1200,,,7868165,19183
00904,2056,DIPHENHYDRAMINE HYDROCHLORIDE,50,,,4737694.8,97257
00009,0044,HYDROCORTISONE,20,,,146079,2569
00168,0041,BETAMETHASONE VALERATE,1,,,896198.46,13998
00527,1552,"BUTALBITAL, ASPIRIN, AND CAFFEINE",50; 325; 40,CIII,,141470,3377
51079,0438,DOXEPIN HYDROCHLORIDE,50,,,198602,5533
00904,1748,IBUPROFEN,400,,,1838974,33238
00069,5410,HYDROXYZINE PAMOATE,25,,,587768,11208
00378,6074,FLUPHENAZINE HYDROCHLORIDE,5,,,9415988.24,150617
00904,1313,BISMUTH SUBSALICYLATE,262,,,1261469,4208
51672,1253,FLUOCINONIDE,0.5,,,2399602.6,50562
00054,4721,PROPANTHELINE BROMIDE,15,,,3692042.06,40440
00178,0600,POTASSIUM CITRATE,5,,,626520,4661
00904,7718,CARBIDOPA AND LEVODOPA,10; 100,,,474193,5407
00378,0751,CYCLOBENZAPRINE HYDROCHLORIDE,10,,,18963391.468,456255
51079,0386,LORAZEPAM,1,CIV,,2311168.2,38930
