State,Opiate,Number.of.Prescriptions
AK,,277839
AK,YES,18845
AL,,2423066
AL,YES,86890
AR,,1256909
AR,YES,80669
AZ,,3102467
AZ,YES,221060
CA,,13258059
CA,YES,838449
CO,,968799
CO,YES,72542
CT,,1697531
CT,YES,86145
DC,,230784
DC,YES,14631
DE,,561041
DE,YES,42611
FL,,6058676
FL,YES,366153
GA,,3233052
GA,YES,109224
HI,,355637
HI,YES,31341
IA,,1136032
IA,YES,64348
ID,,533601
ID,YES,38496
IL,,6897945
IL,YES,480324
IN,,3439073
IN,YES,172481
KS,,717570
KS,YES,38198
KY,,3445621
KY,YES,139242
LA,,2912266
LA,YES,134152
MA,,3574535
MA,YES,135407
MD,,2074016
MD,YES,170849
ME,,999405
ME,YES,56683
MI,,4882385
MI,YES,276757
MN,,1904921
MN,YES,124399
MO,,3573145
MO,YES,235761
MS,,1367019
MS,YES,74281
MT,,243642
MT,YES,25118
NC,,4533393
NC,YES,206848
ND,,157921
ND,YES,17368
NE,,748054
NE,YES,42141
NH,,446492
NH,YES,20611
NJ,,2348816
NJ,YES,64762
NM,,65508
NM,YES,2965
NV,,532667
NV,YES,42995
NY,,13756749
NY,YES,437804
OH,,6447923
OH,YES,436398
OK,,1535990
OK,YES,68041
OR,,1062208
OR,YES,59851
PA,,4772291
PA,YES,212057
RI,,544634
RI,YES,11890
SC,,1804721
SC,YES,60187
SD,,231230
SD,YES,16296
TN,,3273714
TN,YES,158365
TX,,8190555
TX,YES,334044
UT,,694101
UT,YES,43802
VA,,1568499
VA,YES,67565
VT,,404789
VT,YES,27086
WA,,1879600
WA,YES,88422
WI,,3505736
WI,YES,236602
WV,,1640739
WV,YES,84173
WY,,120365
WY,YES,6138
XX,,128782893
XX,YES,6092275
