State,Opiate,Number.of.Prescriptions
AK,,16422
AK,YES,430
AL,,260907
AL,YES,2188
AR,,151230
AR,YES,656
CA,,1403823
CO,,139423
CO,YES,3520
CT,,198831
CT,YES,8625
DC,,43018
DC,YES,472
DE,,29562
DE,YES,1807
FL,,888874
FL,YES,16940
GA,,161515
HI,,50376
HI,YES,425
IA,,224888
IA,YES,3075
ID,,45878
ID,YES,414
IL,,837469
IL,YES,1292
IN,,477934
IN,YES,2191
KS,,113313
KS,YES,3876
KY,,419650
KY,YES,993
LA,,432285
LA,YES,4645
MA,,364708
MA,YES,40152
MD,,259737
MD,YES,20280
ME,,101277
ME,YES,7178
MI,,546287
MI,YES,2149
MN,,303417
MN,YES,3692
MO,,303911
MS,,223099
MS,YES,836
MT,,42408
MT,YES,533
NC,,256356
NC,YES,147
ND,,35937
ND,YES,507
NE,,116348
NE,YES,528
NH,,53276
NH,YES,4667
NJ,,315234
NJ,YES,11234
NM,,71849
NM,YES,4400
NV,,30208
NV,YES,1615
NY,,707410
NY,YES,4885
OH,,585107
OK,,58786
OK,YES,874
OR,,142798
OR,YES,4113
PA,,798280
PA,YES,16773
RI,,84857
RI,YES,1395
SC,,208838
SC,YES,586
SD,,35152
SD,YES,274
TN,,407978
TX,,366746
TX,YES,35
UT,,49213
VA,,353357
VA,YES,7038
VT,,49154
VT,YES,4086
WA,,198010
WA,YES,207
WI,,429731
WI,YES,10025
WV,,172392
WV,YES,2680
WY,,12130
WY,YES,283
XX,,9143328
XX,YES,8887
