Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
00143,1202,CORTISONE ACETATE,25,,,152610,2684
00085,0854,MOMETASONE FUROATE,1,,,4138013.654,87753
24208,0670,SULFACETAMIDE SODIUM,100,,,6114050.3,403553
00378,0541,CIMETIDINE,800,,,1370737.002,38958
49884,0085,DEXAMETHASONE,0.75,,,156052,5686
55513,0144,EPOETIN ALFA,10000,,,3557929,19142
00071,0527,QUINAPRIL HYDROCHLORIDE,5,,,1095960,27380
00338,0089,DEXTROSE AND SODIUM CHLORIDE,5; 900,,,16532314.606,4311
00713,0102,GLYCERIN,1.2,,,10373,725
00904,0357,HYDROXYZINE HYDROCHLORIDE,10,,,2986073,52319
00904,0359,HYDROXYZINE HYDROCHLORIDE,50,,,320714,5767
00025,1851,VERAPAMIL HYDROCHLORIDE,80,,,852074,10140
51079,0161,ACETAMINOPHEN AND CODEINE PHOSPHATE,300; 30,CIII,YES,2160410,44038
00378,0232,FUROSEMIDE,80,,,13861463,251920
00781,1766,IMIPRAMINE HYDROCHLORIDE,50,,,12862726.166,185775
00378,0271,DIAZEPAM,2,CIV,,3918327.02,71230
51672,1274,BETAMETHASONE DIPROPIONATE,0.64,,,58288,1407
00054,3194,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE,2.5; .025,CV,,3035095.4,44257
00074,7804,POTASSIUM CHLORIDE,750,,,11832183.74,181918
00004,0058,CLONAZEPAM,1,CIV,,68511284.092,1023298
00069,1520,AMLODIPINE BESYLATE,2.5,,,2422524,67808
00378,0317,CIMETIDINE,300,,,6272403.464,93910
00904,7720,CARBIDOPA AND LEVODOPA,25; 250,,,649491,7197
00591,5621,DIAZEPAM,2,CIV,,126096,1867
00378,0330,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,2; 10,,,5895108,90894
51672,1275,CLOTRIMAZOLE,10,,,11197457.118,362621
49884,0029,HYDRALAZINE HYDROCHLORIDE,10,,,101061,1051
00025,1911,VERAPAMIL HYDROCHLORIDE,180,,,15110311.344,382628
00573,0150,IBUPROFEN,200,,,2087949,32783
00904,2035,DIPHENHYDRAMINE HCL,25,,,222125,5024
00338,0671,"POTASSIUM CHLORIDE, DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE",150; 5; 450,,,17109488.8,3939
00085,0370,MOMETASONE FUROATE,1,,,8034692.62,214641
00009,0280,METHYLPREDNISOLONE ACETATE,40,,,11998.01,3096
00009,0280,METHYLPREDNISOLONE ACETATE,40,,,11998.01,3096
00781,1393,HALOPERIDOL,2,,,6204288,101710
00009,0260,COLESTIPOL HYDROCHLORIDE,5,,,6078032,22181
00299,5765,DESONIDE,0.5,,,3893350.542,40951
00009,3116,CLINDAMYCIN PHOSPHATE,10,,,2672492.542,50387
00456,0460,"THYROID, PORCINE",90,,,672337.156,15069
51079,0519,CHLORPROMAZINE HYDROCHLORIDE,25,,,657267,9761
00781,1437,FLUPHENAZINE HYDROCHLORIDE,2.5,,,1438826,25403
49348,0001,ASPIRIN,325,,,372113,6596
00781,1036,TRIFLUOPERAZINE HYDROCHLORIDE,10,,,18352440.22,232674
00832,0086,FLUOXYMESTERONE,10,CIII,,175689,4096
00597,0012,BISACODYL,5,,,460062,11797
24385,0028,ASPIRIN,81,,,15009,410
17478,0290,TOBRAMYCIN,3,,,1664,301
00172,3925,DIAZEPAM,2,CIV,,1078040,17349
00536,5005,OXYMETAZOLINE HYDROCHLORIDE,0.05,,,40429,1726
17478,0238,BACITRACIN ZINC AND POLYMYXIN B SULFATE,500; 10000,,,30414.5,7330
59762,3741,MEDROXYPROGESTERONE ACETATE,5,,,1370916,43670
00615,3541,BACLOFEN,10,,,32514,365
00009,0017,TRIAZOLAM,0.25,CIV,,5056693.84,210578
00904,2613,ALLOPURINOL,100,,,1743667.4,28978
00039,0067,FUROSEMIDE,20,,,2984002,75371
00049,4120,GLIPIZIDE,10,,,21114563.009999998,271674
00054,8553,METHADONE HYDROCHLORIDE,5,CII,,21867,403
50111,0456,OXYBUTYNIN CHLORIDE,5,,,25924079.004,362768
00093,0292,CARBIDOPA AND LEVODOPA,10; 100,,,11219816,123698
00378,0471,FENOPROFEN CALCIUM,600,,,4352783,66864
00591,5571,TRIMETHOPRIM,100,,,26477,708
51079,0790,ALPRAZOLAM,1,CIV,,15528,271
00781,2325,INDOMETHACIN,25,,,2296461.6,39172
00378,2150,MECLOFENAMATE SODIUM,50,,,947325,14181
00378,0216,FUROSEMIDE,40,,,66031944.352,1410829
00065,0656,CIPROFLOXACIN HYDROCHLORIDE,3,,,869025.525,152429
17478,0060,POLYVINYL ALCOHOL,14,,,125207,8020
00781,1486,AMITRIPTYLINE HYDROCHLORIDE,10,,,5946989.54,112558
00228,2497,NIFEDIPINE,10,,,14341265.68,172561
00069,0971,DOXYCYCLINE CALCIUM,50,,,439229,2862
53489,0157,ALLOPURINOL,300,,,1378708,35110
00009,0056,METHYLPREDNISOLONE,4,,,870779.4,30461
00591,5381,METHOCARBAMOL,500,,,260932,4724
00003,0249,HALCINONIDE,1,,,342178,6480
00904,0789,MAGNESIUM HYDROXIDE,1200,,,663485,1452
00049,4910,SERTRALINE HYDROCHLORIDE,100,,,35114618.216,962636
00781,1048,PERPHENAZINE,8,,,5171362.004,71505
00904,0195,DICYCLOMINE HYDROCHLORIDE,20,,,168990.8,2836
00093,0149,NAPROXEN,500,,,3965924.16,80558
11980,0228,FLUOROMETHOLONE,2.5,,,177170,21722
00904,0202,AMITRIPTYLINE HYDROCHLORIDE,50,,,2055110.1,47913
00486,1125,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS, POTASSIUM PHOSPHATE, MONOBASIC, AND SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",852; 155; 130,,,1144257,10513
00378,0257,HALOPERIDOL,1,,,10711835.008,184835
37000,0024,PSYLLIUM HUSK,3.4,,,1778744,6633
00054,3555,METHADONE HYDROCHLORIDE,5,CII,,598810,1464
00781,1832,PROMETHAZINE HYDROCHLORIDE,50,,,1048855,26971
00264,7802,SODIUM CHLORIDE,0.45,,,4379235,1442
00054,3117,CALCIUM CARBONATE,1250,,,4315366,10174
51672,1280,DESONIDE,0.5,,,1526778.4,38209
00065,0246,BETAXOLOL HYDROCHLORIDE,2.8,,,3274984.306,333794
00781,1966,FUROSEMIDE,40,,,40245065.622,879888
00591,5544,ALLOPURINOL,300,,,220532,5981
00641,0410,HEPARIN SODIUM,10000,,,223557,7416
00054,4181,DEXAMETHASONE,1,,,127701,2588
00781,1047,PERPHENAZINE,4,,,6185916.002,91799
00904,1258,CALCIUM CARBONATE,500,,,930899,5817
00378,1101,PRAZOSIN HYDROCHLORIDE,1,,,2724609,38457
50111,0333,METRONIDAZOLE,250,,,814134,28979
00069,2660,NIFEDIPINE,60,,,72123181.158,1951870
00904,1453,METRONIDAZOLE,250,,,981967.8,35675
00185,4350,ISONIAZID,300,,,304821,7972
00186,1094,METOPROLOL SUCCINATE,200,,,499834,12694
51079,0517,CHLORPROMAZINE HYDROCHLORIDE,200,,,160743,2139
59762,3719,ALPRAZOLAM,0.25,CIV,,11399719.11,211264
00006,3551,IMIPENEM AND CILASTATIN SODIUM,250; 250,,,16334.25,107
00591,5642,MINOXIDIL,2.5,,,110118,1394
00555,0285,DIPYRIDAMOLE,50,,,10620200,126874
00603,5167,PHENOBARBITAL,64.8,CIV,,1815724.22,29058
00378,0221,TIMOLOL MALEATE,10,,,501097,8467
00904,4277,ISOPROPYL ALCOHOL,0.7,,,309458,3453
00781,1556,ISOSORBIDE DINITRATE,10,,,31748368.8,315613
00781,1975,DESIPRAMINE HYDROCHLORIDE,100,,,2260975.006,49879
45802,0059,NYSTATIN,100000,,,754134,27325
00056,0172,WARFARIN SODIUM,5,,,48859813.726,1237032
00781,2201,TEMAZEPAM,15,CIV,,1508080,52491
00054,4728,PREDNISONE,5,,,5837900.044,119912
00781,1398,HALOPERIDOL,20,,,1144373,19206
00049,4900,SERTRALINE HYDROCHLORIDE,50,,,79523278.62,2272522
45802,0063,TRIAMCINOLONE ACETONIDE,0.25,,,1005771.02,16120
00054,4721,PROPANTHELINE BROMIDE,15,,,3370992,36685
00615,3548,DILTIAZEM HYDROCHLORIDE,30,,,336080,2183
00228,2539,CARBIDOPA AND LEVODOPA,25; 100,,,3738618,35191
00378,2610,AMITRIPTYLINE HYDROCHLORIDE,10,,,8553945.632,159772
00378,0210,CHLORPROPAMIDE,250,,,3377113,56858
00068,0510,RIFAMPIN,150,,,246916,6322
24385,0484,ACETAMINOPHEN,500,,,82859,965
45802,0048,NYSTATIN,100000,,,480598,15930
00904,0643,NITROGLYCERIN,2.5,,,1443772,20010
00591,5787,NORTRIPTYLINE HYDROCHLORIDE,25,,,1729775,32109
00904,0726,TOLNAFTATE,1,,,16830,366
00173,0387,CEFUROXIME AXETIL,250,,,18885230.412,927546
00781,1345,MECLIZINE HYDROCHLORIDE,12.5,,,2196490.6,38275
00641,0391,HEPARIN SODIUM,1000,,,41353,1279
00615,0585,DOCUSATE SODIUM,100,,,327559,6495
24385,0429,ASPIRIN,325,,,1527461,17438
00024,1562,HYDROXYCHLOROQUINE SULFATE,200,,,13196726.772,221798
00536,3597,DIPHENHYDRAMINE HCL,25,,,33647,660
00904,2720,POTASSIUM BICARBONATE,25,,,290413,7014
50111,0434,TRAZODONE HYDROCHLORIDE,100,,,4198194,87883
00054,4301,FUROSEMIDE,80,,,6141512.2,120262
00168,0003,TRIAMCINOLONE ACETONIDE,0.25,,,2811941,33817
00085,0924,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,10; .5,,,90439187.936,2433803
00085,0962,BETAMETHASONE DIPROPIONATE,0.5,,,1462583.446,27872
00781,1436,FLUPHENAZINE HYDROCHLORIDE,1,,,2058969.24,28556
00591,5442,PREDNISONE,10,,,576005,14271
00054,3722,PREDNISONE,5,,,7193641.004,47624
51079,0083,ISONIAZID,300,,,333552.9,10471
00173,0344,RANITIDINE HYDROCHLORIDE,150,,,429830138.786,8705424
