State,Opiate,Number.of.Prescriptions
AK,,281279
AK,YES,12068
AL,,2100980
AL,YES,41455
AR,,970127
AR,YES,13752
CA,,11121188
CA,YES,188817
CO,,967248
CO,YES,57654
CT,,1079647
CT,YES,45441
DC,,169344
DC,YES,12624
DE,,269309
DE,YES,14588
FL,,6054654
FL,YES,172721
GA,,3740838
GA,YES,92527
HI,,275012
HI,YES,7205
IA,,1227137
IA,YES,23376
ID,,426610
ID,YES,6594
IL,,6687640
IL,YES,62666
IN,,2436253
IN,YES,44975
KS,,859833
KS,YES,16752
KY,,2787414
KY,YES,27876
LA,,2557127
LA,YES,36565
MA,,2982495
MA,YES,153786
MD,,1305865
MD,YES,64380
ME,,906253
ME,YES,35751
MI,,3195235
MI,YES,31361
MN,,1036592
MN,YES,25216
MO,,3369797
MO,YES,91800
MS,,1937080
MS,YES,17039
MT,,292711
MT,YES,5706
NC,,4235472
NC,YES,181121
ND,,210534
ND,YES,4459
NE,,744850
NE,YES,19568
NH,,422010
NH,YES,29183
NJ,,2154072
NJ,YES,88856
NM,,376754
NM,YES,11881
NV,,324898
NV,YES,16298
NY,,10459738
NY,YES,71136
OH,,4240578
OH,YES,212049
OK,,1184882
OK,YES,22004
OR,,784769
OR,YES,40244
PA,,2822493
PA,YES,63842
RI,,383741
RI,YES,10448
SC,,2214563
SC,YES,49406
SD,,246381
SD,YES,6235
TN,,122140686
TN,YES,170136
TX,,6116124
TX,YES,63984
UT,,543112
UT,YES,23305
VA,,1775961
VA,YES,55841
VT,,81349
VT,YES,2696
WA,,2039565
WA,YES,113125
WI,,2654202
WI,YES,79638
WV,,1275780
WV,YES,14715
WY,,114377
WY,YES,4512
XX,,213682296
XX,YES,1419417
