State,Opiate,Number.of.Prescriptions
AK,,356590
AK,YES,27301
AL,,2568634
AL,YES,79358
AR,,1560014
AR,YES,82898
AZ,,3528980
AZ,YES,353168
CA,,14003424
CA,YES,866388
CO,,1343337
CO,YES,131669
CT,,2075073
CT,YES,107187
DC,,669760
DC,YES,47545
DE,,652665
DE,YES,43479
FL,,8953867
FL,YES,476932
GA,,5102508
GA,YES,154332
HI,,572901
HI,YES,54859
IA,,1421323
IA,YES,36065
ID,,738444
ID,YES,70510
IL,,7324126
IL,YES,548523
IN,,3503534
IN,YES,235061
KS,,840885
KS,YES,39223
KY,,4497993
KY,YES,180662
LA,,3894206
LA,YES,174846
MA,,3397698
MA,YES,197785
MD,,2928548
MD,YES,285538
ME,,1349774
ME,YES,96998
MI,,6912400
MI,YES,469990
MN,,3290653
MN,YES,205714
MO,,4578881
MO,YES,285061
MS,,1461847
MS,YES,69707
MT,,307005
MT,YES,26870
NC,,5254848
NC,YES,356040
ND,,156274
ND,YES,18616
NE,,793937
NE,YES,35926
NH,,561585
NH,YES,41846
NJ,,3736406
NJ,YES,142824
NM,,1076765
NM,YES,87549
NV,,678888
NV,YES,63309
NY,,16433252
NY,YES,492831
OH,,7685256
OH,YES,473388
OK,,1810111
OK,YES,99132
OR,,1474127
OR,YES,105752
PA,,7249212
PA,YES,474667
RI,,666822
RI,YES,17196
SC,,2812178
SC,YES,104501
SD,,200860
SD,YES,9796
TN,,3557533
TN,YES,178925
TX,,8655127
TX,YES,546207
UT,,774366
UT,YES,50029
VA,,3023518
VA,YES,150289
VT,,358705
VT,YES,24343
WA,,1887790
WA,YES,118448
WI,,3012294
WI,YES,159890
WV,,1741395
WV,YES,118249
WY,,154420
WY,YES,6716
XX,,147768963
XX,YES,7998193
