State,Opiate,Number.of.Prescriptions
AK,,352651
AK,YES,35802
AL,,2560328
AL,YES,73902
AR,,1609669
AR,YES,92972
AZ,,4520905
AZ,YES,434815
CA,,15648874
CA,YES,1031455
CO,,1449822
CO,YES,167053
CT,,2038081
CT,YES,116545
DC,,581058
DC,YES,37459
DE,,666150
DE,YES,48150
FL,,9638249
FL,YES,491239
GA,,5257748
GA,YES,185129
HI,,625958
HI,YES,57735
IA,,1473004
IA,YES,51640
ID,,710162
ID,YES,93996
IL,,5273507
IL,YES,410886
IN,,3336127
IN,YES,194784
KS,,316311
KS,YES,22365
KY,,4384714
KY,YES,168009
LA,,3905192
LA,YES,209109
MA,,3542097
MA,YES,206827
MD,,3172497
MD,YES,298542
ME,,1158318
ME,YES,94826
MI,,7158647
MI,YES,625104
MN,,3444520
MN,YES,237474
MO,,4503553
MO,YES,311078
MS,,1482100
MS,YES,78602
MT,,291619
MT,YES,27328
NC,,5683568
NC,YES,437628
ND,,149541
ND,YES,16135
NE,,738304
NE,YES,50200
NH,,546330
NH,YES,46409
NJ,,3405081
NJ,YES,129700
NM,,1102228
NM,YES,90607
NV,,723114
NV,YES,64682
NY,,17713929
NY,YES,559481
OH,,7789957
OH,YES,398680
OK,,1844062
OK,YES,141658
OR,,1689700
OR,YES,144479
PA,,7558021
PA,YES,386988
RI,,655959
RI,YES,21912
SC,,2599008
SC,YES,104688
SD,,180222
SD,YES,19734
TN,,3487522
TN,YES,220005
TX,,9109475
TX,YES,613700
UT,,919787
UT,YES,102995
VA,,3165716
VA,YES,178653
VT,,333378
VT,YES,29304
WA,,2123032
WA,YES,162799
WI,,2980109
WI,YES,182028
WV,,1817618
WV,YES,122287
WY,,135157
WY,YES,9046
XX,,150453160
XX,YES,9047326
