Product.Code,Labeler.Code,Substance.Name,Strength,DEA.Schedule,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed
0000,NA,NA,NA,NA,700.17,641.51,58.66
0001,13107,MIRTAZAPINE,7.5,Not Control,322431800.04,297088222.85,25343577.19
0002,00168,TRIAMCINOLONE ACETONIDE,5,Not Control,132481363.31,128945953.67,3535409.64
0003,00168,TRIAMCINOLONE ACETONIDE,0.25,Not Control,119055728.8,116700669.67,2355059.13
0004,00168,TRIAMCINOLONE ACETONIDE,1,Not Control,39827516.99,38306639.47,1520877.52
0005,16729,SIMVASTATIN,20,Not Control,174611357.05,118060722.7,56550634.35
0006,00168,TRIAMCINOLONE ACETONIDE,1,Not Control,997819603.94,982575335.5,15244268.44
0007,00054,CALCITRIOL,0.25,Not Control,1148471027.93,1126512981.06,21958046.87
0008,13668,ZOLPIDEM TARTRATE,10,Not Control,1052907131.77,1011776337.19,41130794.58
0009,13668,CITALOPRAM HYDROBROMIDE,10,Not Control,538945745.11,529420890.54,9524854.57
0010,10702,HYDROXYZINE HYDROCHLORIDE,10,Not Control,640648400.13,630085437.86,10562962.27
0011,00093,PANTOPRAZOLE SODIUM,20,Not Control,617725041.82,602226080.28,15498961.540000001
0012,00093,PANTOPRAZOLE SODIUM,40,Not Control,58870060.45,58110004.61,760055.84
0013,63323,THIAMINE HYDROCHLORIDE,100,Not Control,109255132.79,104716493.03,4538639.76
0013,63323,THIAMINE HYDROCHLORIDE,100,Not Control,109255132.79,104716493.03,4538639.76
0013,63323,THIAMINE HYDROCHLORIDE,100,Not Control,109255132.79,104716493.03,4538639.76
0014,00378,METHOTREXATE SODIUM,2.5,Not Control,30746377.62,30424819.37,321558.25
0015,00168,HYDROCORTISONE,10,Not Control,28750040.080000002,27832273.95,917766.13
0016,59762,CLINDAMYCIN PALMITATE HYDROCHLORIDE,75,Not Control,46716336.83,45147372.3,1568964.53
0017,00054,PREDNISONE,10,Not Control,30648966.41,28928258.31,1720708.1
0018,00054,PREDNISONE,20,Not Control,103667677.41,100847730.26,2819947.15
0019,00054,PREDNISONE,50,Not Control,278651488.68,273718671.28000003,4932817.4
0020,00054,LITHIUM CARBONATE,450,Not Control,59424862.800000004,58404046.36,1020816.4400000001
0021,00054,LITHIUM CARBONATE,300,Not Control,192614288.14,188875335.24,3738952.9
0022,16729,PIOGLITAZONE HYDROCHLORIDE,45,Not Control,45123336.31,44644859.27,478477.04
0023,16714,PROPRANOLOL HYDROCHLORIDE,40,Not Control,19879905.03,14796126.66,5083778.37
0024,16714,PROPRANOLOL HYDROCHLORIDE,60,Not Control,317928976.35,315094192.13,2834784.22
