State,Opiate,Number.of.Prescriptions
AK,,22195
AK,YES,485
AL,,397817
AL,YES,3403
AR,,209122
AR,YES,292
CA,,1831131
CA,YES,517
CO,,174328
CO,YES,531
CT,,278232
CT,YES,485
DC,,61123
DC,YES,230
DE,,36852
DE,YES,16
FL,,985977
FL,YES,2646
GA,,261602
HI,,75852
HI,YES,403
IA,,195635
IA,YES,95
ID,,60516
ID,YES,289
IL,,1139418
IL,YES,6727
IN,,581196
IN,YES,2650
KS,,140782
KS,YES,380
KY,,534115
KY,YES,165
LA,,661984
LA,YES,1606
MA,,505041
MA,YES,1025
MD,,279849
MD,YES,905
ME,,150331
ME,YES,169
MI,,695229
MI,YES,16050
MN,,366367
MN,YES,298
MO,,435470
MO,YES,947
MS,,356905
MS,YES,2029
MT,,53987
MT,YES,106
NC,,361954
NC,YES,593
ND,,44589
ND,YES,18
NE,,156037
NE,YES,203
NH,,71004
NH,YES,164
NJ,,546835
NJ,YES,903
NM,,100784
NM,YES,843
NV,,36326
NV,YES,158
NY,,1561683
NY,YES,8626
OH,,871993
OH,YES,12295
OK,,151555
OK,YES,866
OR,,190211
OR,YES,698
PA,,1045296
PA,YES,4535
RI,,94201
RI,YES,277
SC,,288854
SC,YES,270
SD,,42442
TN,,430132
TN,YES,2875
TX,,716083
TX,YES,752
UT,,66949
UT,YES,875
VA,,472955
VA,YES,1235
VT,,62097
WA,,362246
WA,YES,2549
WI,,503483
WI,YES,890
WV,,306818
WV,YES,4266
WY,,17197
WY,YES,69
XX,,13696833
XX,YES,1661
